Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM
Marc Gasol,18.95,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,8.0,9.0,1.0,0.0,2.0,2.0,2.0,4.0,6.0,0.333,0.333,0.333,0.0,5.8,34.9,22.3,5.3,0.0,7.7,25.0,17.0,64.0,88.0,-8.9
Serge Ibaka,25.483333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,,2.0,9.0,11.0,1.0,1.0,5.0,0.0,1.0,12.0,11.0,0.6,0.6,0.1,0.0,8.6,29.2,20.3,4.5,1.7,14.3,0.0,15.8,129.0,82.0,6.6
OG Anunoby,22.766666666666666,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,7.0,13.0,0.875,0.875,0.5,0.0,4.8,7.3,6.2,13.6,5.7,0.0,33.3,10.6,125.0,90.0,6.2
Norman Powell,22.166666666666668,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,8.0,6.0,0.5,0.5,0.25,0.0,0.0,11.2,6.4,0.0,0.0,0.0,20.0,18.2,74.0,102.0,-12.4
Jeremy Lin,22.116666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,6.0,9.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,4.0,5.0,14.0,8.0,0.778,0.778,0.333,0.0,0.0,3.7,2.1,16.3,0.0,0.0,30.8,23.7,103.0,104.0,-4.9
Patrick McCaw,6.683333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,24.8,14.1,40.7,0.0,0.0,0.0,6.0,115.0,96.0,0.1
Malcolm Miller,3.5666666666666664,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,126.0,106.0,20.3
Chris Boucher,3.5666666666666664,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,0.0,30.6,23.2,26.4,0.0,0.0,40.8,0.0,22.6,43.0,71.0,-6.9
Frank Jackson,36.733333333333334,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,9.0,20.0,0.45,1.0,8.0,0.125,1.0,3.0,0.333,2.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,20.0,-24.0,0.469,0.475,0.4,0.15,4.5,11.9,7.7,0.0,0.0,0.0,8.6,23.9,88.0,120.0,-7.5
Julius Randle,32.35,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,6.0,15.0,0.4,0.0,4.0,0.0,6.0,7.0,0.857,3.0,6.0,9.0,7.0,0.0,0.0,4.0,2.0,18.0,-19.0,0.498,0.4,0.267,0.467,7.7,20.2,13.1,30.5,0.0,0.0,18.1,25.7,100.0,119.0,-1.3
Elfrid Payton,28.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,0.0,2.0,2.0,13.0,-20.0,0.722,0.722,0.556,0.0,2.9,19.0,9.8,28.9,1.5,0.0,18.2,14.4,126.0,115.0,2.8
Kenrich Williams,28.633333333333333,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,,2.0,3.0,5.0,4.0,5.0,0.0,3.0,2.0,9.0,-19.0,0.5,0.5,0.667,0.0,5.8,11.4,8.2,17.7,7.6,0.0,25.0,15.8,90.0,103.0,4.3
Jahlil Okafor,17.1,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,-11.0,0.333,0.333,0.0,0.0,0.0,19.1,8.3,0.0,0.0,0.0,25.0,8.8,50.0,119.0,-13.0
Ian Clark,26.716666666666665,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,5.0,15.0,0.333,1.0,5.0,0.2,0.0,0.0,,1.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,11.0,-6.0,0.367,0.367,0.333,0.0,3.1,8.2,5.3,26.4,1.6,0.0,6.3,22.5,87.0,116.0,-4.4
Cheick Diallo,23.5,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,8.0,15.0,0.533,0.0,0.0,,0.0,0.0,,3.0,9.0,12.0,0.0,0.0,0.0,1.0,1.0,16.0,-2.0,0.533,0.533,0.0,0.0,10.6,41.8,24.0,0.0,0.0,0.0,6.3,25.6,103.0,116.0,-2.2
Darius Miller,19.866666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,4.0,9.0,0.444,1.0,5.0,0.2,1.0,3.0,0.333,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,-9.0,0.484,0.5,0.556,0.333,0.0,5.5,2.4,14.5,0.0,0.0,0.0,19.5,105.0,120.0,-3.9
Stanley Johnson,14.233333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,,1.0,3.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0,4.0,0.167,0.167,0.5,0.0,5.8,23.0,13.2,25.5,9.1,0.0,25.0,21.1,51.0,98.0,-5.3
Solomon Hill,12.1,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080NOP,2019-03-08 20:00:00,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,-9.0,0.375,0.375,0.75,0.0,6.8,9.0,7.8,10.2,3.6,0.0,20.0,15.5,77.0,112.0,-4.8
Nikola Jokić,28.8,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,5.0,10.0,0.5,1.0,1.0,1.0,5.0,8.0,0.625,3.0,3.0,6.0,4.0,4.0,1.0,2.0,2.0,16.0,-29.0,0.592,0.55,0.1,0.8,10.0,12.8,11.2,27.0,6.5,3.4,12.9,21.7,120.0,108.0,12.2
Will Barton,25.716666666666665,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,2.0,11.0,0.182,1.0,4.0,0.25,0.0,0.0,,1.0,8.0,9.0,0.0,2.0,0.0,3.0,1.0,5.0,-30.0,0.227,0.227,0.364,0.0,3.7,38.3,18.9,0.0,3.7,0.0,21.4,21.9,43.0,113.0,-11.9
Jamal Murray,22.8,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,4.0,10.0,0.4,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,11.0,-19.0,0.527,0.5,0.3,0.1,0.0,0.0,0.0,25.7,0.0,0.0,8.7,20.2,110.0,127.0,-1.4
Gary Harris,22.35,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,2.0,0.0,0.0,0.0,,6.0,8.0,0.75,1.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,6.0,-10.0,0.543,0.0,0.0,4.0,4.3,5.5,4.8,6.5,0.0,0.0,26.6,13.5,97.0,126.0,-8.6
Paul Millsap,15.65,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,9.0,-7.0,0.507,0.438,0.5,0.25,6.1,23.6,13.8,12.9,0.0,0.0,18.4,27.9,92.0,123.0,-7.2
Monte Morris,28.566666666666666,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,5.0,8.0,0.625,1.0,3.0,0.333,6.0,7.0,0.857,0.0,0.0,0.0,6.0,2.0,0.0,1.0,2.0,17.0,3.0,0.767,0.688,0.375,0.875,0.0,0.0,0.0,41.0,3.3,0.0,8.3,17.0,157.0,120.0,11.1
Malik Beasley,26.783333333333335,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,5.0,14.0,0.357,5.0,13.0,0.385,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,17.0,-6.0,0.571,0.536,0.929,0.143,0.0,4.6,2.0,0.0,0.0,0.0,6.3,23.8,109.0,126.0,-0.7
Torrey Craig,25.95,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,4.0,9.0,0.444,1.0,4.0,0.25,2.0,2.0,1.0,4.0,6.0,10.0,1.0,0.0,1.0,2.0,2.0,11.0,-1.0,0.557,0.5,0.444,0.222,14.8,28.5,20.8,7.2,0.0,3.8,16.8,18.4,109.0,120.0,0.5
Mason Plumlee,23.133333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,3.0,8.0,0.375,0.0,0.0,,2.0,4.0,0.5,3.0,9.0,12.0,2.0,1.0,1.0,1.0,3.0,8.0,2.0,0.41,0.375,0.0,0.5,12.4,47.9,28.0,15.5,2.0,4.2,9.3,18.7,98.0,112.0,0.3
Isaiah Thomas,14.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,2.0,6.0,0.333,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,9.0,0.388,0.333,0.0,0.167,6.5,0.0,3.6,36.4,0.0,0.0,23.7,22.8,83.0,128.0,-6.9
Juan Hernangómez,3.2666666666666666,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,37.7,16.5,0.0,0.0,0.0,0.0,12.3,0.0,122.0,-15.0
Jarred Vanderbilt,2.0833333333333335,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,128.0,-6.3
Draymond Green,36.45,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,1.0,4.0,0.25,0.0,2.0,0.0,2.0,4.0,0.5,0.0,10.0,10.0,5.0,2.0,0.0,3.0,4.0,4.0,24.0,0.347,0.25,0.5,1.0,0.0,26.3,14.8,15.1,2.6,0.0,34.2,10.5,79.0,99.0,-5.1
Kevin Durant,35.86666666666667,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,10.0,15.0,0.667,2.0,2.0,1.0,4.0,4.0,1.0,0.0,4.0,4.0,6.0,0.0,2.0,0.0,3.0,26.0,23.0,0.776,0.733,0.133,0.267,0.0,10.7,6.0,25.4,0.0,5.0,0.0,20.3,165.0,109.0,10.7
Klay Thompson,35.4,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,13.0,22.0,0.591,9.0,11.0,0.818,4.0,5.0,0.8,1.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,39.0,30.0,0.806,0.795,0.5,0.227,3.5,5.4,4.6,19.8,2.7,2.5,4.0,31.0,149.0,107.0,18.8
Stephen Curry,34.35,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,6.0,16.0,0.375,4.0,10.0,0.4,1.0,2.0,0.5,0.0,7.0,7.0,4.0,0.0,0.0,7.0,4.0,17.0,20.0,0.504,0.5,0.625,0.125,0.0,19.6,11.0,15.3,0.0,0.0,29.3,30.3,75.0,108.0,-13.1
DeMarcus Cousins,27.533333333333335,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,5.0,11.0,0.455,1.0,4.0,0.25,2.0,2.0,1.0,2.0,4.0,6.0,6.0,3.0,6.0,3.0,4.0,13.0,5.0,0.547,0.5,0.364,0.182,8.9,13.9,11.8,28.8,5.1,19.4,20.2,23.5,112.0,89.0,11.9
Andre Iguodala,20.3,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,7.0,0.7,0.7,0.6,0.0,0.0,9.5,5.3,12.5,7.0,4.4,16.7,12.9,120.0,94.0,8.7
Kevon Looney,15.233333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,4.0,4.0,1.0,0.0,0.0,,1.0,4.0,0.25,2.0,5.0,7.0,0.0,1.0,0.0,1.0,4.0,9.0,0.0,0.781,1.0,0.0,1.0,16.2,31.5,24.8,0.0,3.1,0.0,14.8,19.3,127.0,95.0,0.6
Shaun Livingston,12.766666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,3.4,223.0,117.0,3.5
Alfonzo McKinnie,6.916666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-8.0,0.75,0.75,0.5,0.0,35.6,13.9,23.4,0.0,0.0,0.0,0.0,12.6,168.0,111.0,6.4
Jordan Bell,6.583333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.6,8.2,0.0,0.0,0.0,50.0,13.2,0.0,110.0,-23.4
Jonas Jerebko,4.4,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,200.0,116.0,-1.8
Damion Lee,2.0833333333333335,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.9,104.0,117.0,7.5
Quinn Cook,2.0833333333333335,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080GSW,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,117.0,-28.3
Terrance Ferguson,33.71666666666667,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,2.0,9.0,0.222,2.0,8.0,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,-8.0,0.333,0.333,0.889,0.0,0.0,5.9,2.7,3.7,0.0,2.3,10.0,11.4,69.0,116.0,-6.4
Russell Westbrook,31.966666666666665,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,12.0,23.0,0.522,2.0,9.0,0.222,6.0,8.0,0.75,0.0,8.0,8.0,7.0,0.0,1.0,1.0,6.0,32.0,-4.0,0.603,0.565,0.391,0.348,0.0,25.0,11.4,45.7,0.0,2.5,3.6,33.2,129.0,111.0,14.7
Steven Adams,31.7,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,0.0,7.0,3.0,10.0,3.0,0.0,0.0,1.0,6.0,6.0,-21.0,0.51,0.6,0.0,0.4,18.6,9.5,14.4,12.5,0.0,0.0,14.5,8.4,127.0,116.0,-2.6
Jerami Grant,30.083333333333332,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,5.0,9.0,0.556,0.0,3.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,12.0,-16.0,0.581,0.556,0.333,0.333,2.8,10.0,6.1,4.8,0.0,0.0,0.0,13.2,127.0,116.0,-1.7
Paul George,27.55,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,5.0,16.0,0.313,3.0,9.0,0.333,2.0,4.0,0.5,1.0,5.0,6.0,1.0,0.0,0.0,5.0,6.0,15.0,-18.0,0.422,0.406,0.563,0.25,3.1,18.1,10.0,5.4,0.0,0.0,22.0,31.9,71.0,114.0,-11.8
Dennis Schröder,33.0,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,5.0,20.0,0.25,2.0,11.0,0.182,3.0,4.0,0.75,2.0,2.0,4.0,4.0,0.0,0.0,2.0,3.0,15.0,2.0,0.345,0.3,0.55,0.2,5.1,6.1,5.5,17.3,0.0,0.0,8.4,27.8,81.0,117.0,-7.3
Abdel Nader,18.633333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,2.0,4.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,1.0,3.0,1.0,1.0,6.0,4.0,0.676,0.625,0.25,0.25,4.5,26.8,14.7,0.0,2.4,12.7,18.4,11.3,115.0,98.0,9.1
Markieff Morris,17.05,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,5.0,10.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,1.0,6.0,7.0,1.0,0.0,0.0,0.0,1.0,12.0,8.0,0.551,0.55,0.2,0.2,4.9,35.2,18.8,10.5,0.0,0.0,0.0,24.6,119.0,111.0,6.5
Nerlens Noel,16.15,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,0.0,5.0,6.0,13.0,0.51,0.4,0.0,0.4,5.2,24.8,14.2,17.0,5.6,9.7,0.0,14.0,127.0,92.0,9.1
Donte Grantham,0.15,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,119.0,-223.3
Danilo Gallinari,33.6,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,10.0,19.0,0.526,2.0,5.0,0.4,12.0,15.0,0.8,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,34.0,13.0,0.664,0.579,0.263,0.789,6.0,10.0,8.2,11.6,0.0,0.0,0.0,31.5,143.0,110.0,11.5
Landry Shamet,30.8,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,3.0,9.0,0.333,2.0,5.0,0.4,3.0,4.0,0.75,0.0,5.0,5.0,1.0,0.0,0.0,1.0,3.0,11.0,20.0,0.511,0.444,0.556,0.444,0.0,13.7,7.4,4.5,0.0,0.0,8.5,15.8,100.0,108.0,-5.0
Patrick Beverley,27.1,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,4.0,7.0,6.0,1.0,1.0,0.0,3.0,0.0,22.0,0.0,0.0,1.0,0.0,11.1,12.4,11.8,27.2,1.7,3.1,0.0,4.6,115.0,103.0,2.4
Shai Gilgeous-Alexander,25.616666666666667,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,3.0,7.0,0.429,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,9.0,-4.0,0.571,0.5,0.286,0.286,0.0,3.3,1.8,5.6,1.8,0.0,11.3,14.3,107.0,108.0,-4.0
Ivica Zubac,23.333333333333332,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,6.0,8.0,0.75,0.0,0.0,,2.0,6.0,0.333,0.0,7.0,7.0,1.0,1.0,2.0,2.0,4.0,14.0,14.0,0.658,0.75,0.0,0.75,0.0,25.3,13.7,7.7,1.9,7.1,15.8,22.4,106.0,95.0,3.6
Lou Williams,34.1,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,13.0,24.0,0.542,4.0,6.0,0.667,10.0,15.0,0.667,1.0,6.0,7.0,5.0,4.0,0.0,2.0,1.0,40.0,3.0,0.654,0.625,0.25,0.625,2.9,14.8,9.4,34.0,5.3,0.0,6.1,39.5,130.0,97.0,21.0
Montrezl Harrell,24.666666666666668,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,3.0,7.0,0.429,0.0,0.0,,2.0,4.0,0.5,2.0,4.0,6.0,2.0,0.0,1.0,2.0,5.0,8.0,-6.0,0.457,0.429,0.0,0.571,8.1,13.7,11.1,11.7,0.0,3.4,18.6,18.0,92.0,106.0,-6.5
Garrett Temple,17.8,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-16.0,0.0,0.0,0.333,0.0,5.6,14.2,10.3,13.8,0.0,0.0,25.0,9.3,45.0,108.0,-10.0
JaMychal Green,14.4,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,-5.0,0.25,0.25,0.5,0.0,6.9,40.9,25.4,0.0,0.0,0.0,0.0,11.5,71.0,98.0,-8.1
Tyrone Wallace,5.2,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903080LAC,2019-03-08 22:30:00,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,32.4,17.6,0.0,0.0,0.0,50.0,15.9,0.0,102.0,-17.9
