player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Ned Endress,1947,1947,,6-2,200,"March 2, 1918",University of Akron,Career,,,BAA,16,,,0.2,1.6,.120,,,,,,,,0.5,0.9,.533,,,,0.3,,,,0.8,0.9
Wayne Engelstad,1989,1989,,6-8,245,"December 6, 1965","University of California, Irvine",Career,,,NBA,11,0,4.5,1.0,2.6,.379,0.0,0.0,,1.0,2.6,.379,.379,0.5,0.9,.600,0.5,1.0,1.5,0.6,0.1,0.0,0.3,1.1,2.5
Chris Engler,1983,1988,,6-11,245,"March 1, 1959","Minnesota, Wyoming",Career,,,NBA,195,2,7.2,0.7,1.7,.411,0.0,0.0,,0.7,1.7,.411,.411,0.3,0.5,.677,0.7,1.3,2.0,0.2,0.2,0.2,0.5,1.4,1.8
A.J. English,1991,1992,,6-3,175,"July 11, 1967",Virginia Union University,Career,,,NBA,151,18,20.6,4.1,9.4,.435,0.1,0.4,.138,4.0,9.0,.449,.438,1.7,2.2,.778,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9
Alex English*,1977,1991,,6-7,190,"January 5, 1954",South Carolina,Career,,,NBA,1193,753,31.9,8.9,17.6,.507,0.0,0.1,.217,8.9,17.6,.508,.507,3.6,4.3,.832,2.3,3.2,5.5,3.6,0.9,0.7,2.5,2.5,21.5
Claude English,1971,1971,,6-4,185,"December 26, 1946",Rhode Island,Career,,,NBA,18,,3.9,0.6,2.3,.262,,,,,,,,0.3,0.4,.714,,,1.1,0.3,,,,0.8,1.5
Jo Jo English,1993,1995,,6-4,195,"February 4, 1970",South Carolina,Career,,,NBA,50,0,11.5,1.5,3.6,.416,0.2,0.6,.344,1.3,2.9,.432,.447,0.4,0.7,.556,0.2,0.8,1.1,0.9,0.4,0.3,0.9,1.7,3.6
Kim English,2013,2013,,6-6,200,"September 24, 1988",Missouri,Career,,,NBA,41,0,9.9,1.0,2.7,.375,0.3,1.2,.280,0.7,1.5,.452,.438,0.5,0.7,.724,0.2,0.7,0.9,0.6,0.4,0.1,0.5,1.1,2.9
Scott English,1973,1975,,6-6,205,"October 20, 1950",Texas-El Paso,Career,,,TOT,105,,14.9,2.4,5.7,.414,0.0,0.1,.100,2.4,5.6,.419,.414,0.9,1.2,.770,1.8,3.2,4.0,1.0,0.7,0.3,1.3,1.5,5.6
Gene Englund,1950,1950,,6-5,205,"October 21, 1917",Wisconsin,Career,,,NBA,46,,,2.3,6.0,.380,,,,,,,,3.3,4.2,.792,,,,0.9,,,,3.6,7.8
James Ennis,2015,2021,,6-6,215,"July 1, 1990",Cal State Long Beach,Career,,,NBA,388,140,20.5,2.3,5.1,.457,0.8,2.2,.360,1.5,2.8,.534,.537,1.3,1.6,.797,1.0,2.3,3.3,1.0,0.6,0.3,0.8,2.0,6.7
Tyler Ennis,2015,2018,,6-3,194,"August 24, 1994",Syracuse,Career,,,NBA,186,21,12.6,1.7,4.1,.419,0.4,1.1,.317,1.4,3.0,.458,.463,0.4,0.5,.768,0.3,1.1,1.3,1.9,0.5,0.1,0.9,1.3,4.2
Ray Epps,1979,1979,,6-6,195,"August 20, 1956",Norfolk State,Career,,,NBA,13,,5.5,0.8,1.8,.435,,,,,,,,0.5,0.6,.750,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.5,2.0
Semih Erden,2011,2012,,7-0,240,"July 28, 1986",,Career,,,NBA,69,17,13.4,1.5,2.7,.546,0.0,0.0,,1.5,2.7,.546,.546,0.9,1.5,.594,0.8,1.9,2.8,0.4,0.4,0.4,0.7,2.4,3.8
Bo Erias,1958,1958,,6-3,220,"July 30, 1932",Niagara University,Career,,,NBA,18,,22.3,3.3,9.4,.347,,,,,,,,1.7,2.6,.638,,,4.6,1.4,,,,2.9,8.2
Keith Erickson,1966,1977,,6-5,195,"April 19, 1944",UCLA,Career,,,NBA,766,,24.6,3.9,9.0,.435,,,,,,,,1.6,2.1,.769,1.3,3.5,4.5,2.6,0.9,0.2,,2.7,9.5
Julius Erving*,1972,1987,,6-7,210,"February 22, 1950",UMass,Career,,,TOT,1243,823,36.4,9.5,18.8,.506,0.1,0.4,.298,9.4,18.4,.510,.509,5.0,6.5,.777,3.0,5.5,8.5,4.2,2.0,1.7,3.4,2.8,24.2
Evan Eschmeyer,2000,2003,,6-11,255,"May 30, 1975",Northwestern,Career,,,NBA,153,65,14.0,1.0,2.2,.463,0.0,0.0,,1.0,2.2,.463,.463,0.7,1.1,.621,1.4,2.5,3.9,0.5,0.5,0.6,0.6,2.6,2.8
Jack Eskridge,1949,1949,,6-5,200,"January 21, 1924",Kansas,Career,,,BAA,23,,,1.1,3.0,.362,,,,,,,,0.6,0.9,.700,,,,0.6,,,,1.1,2.8
Vincenzo Esposito,1996,1996,,6-3,198,"March 1, 1969",,Career,,,NBA,30,0,9.4,1.2,3.3,.360,0.4,1.9,.232,0.8,1.5,.523,.425,1.0,1.3,.795,0.1,0.4,0.5,0.8,0.2,0.0,1.3,0.9,3.9
Drew Eubanks,2019,2021,,6-9,245,"February 1, 1997",Oregon State,Career,,,NBA,99,6,11.5,1.8,3.0,.584,0.0,0.0,1.000,1.7,3.0,.580,.589,1.1,1.5,.745,1.1,2.5,3.6,0.6,0.3,0.7,0.7,1.4,4.6
Billy Evans,1970,1970,,6-0,170,"March 3, 1947",Boston College,Career,,,ABA,53,,11.4,0.6,1.6,.368,0.0,0.0,.000,0.6,1.6,.376,.368,0.7,1.3,.543,0.3,0.4,0.7,1.9,,,0.9,1.7,1.9
Bob Evans,1950,1950,,6-2,175,"May 31, 1925",Butler,Career,,,NBA,47,,,1.2,4.3,.280,,,,,,,,0.6,0.9,.682,,,,1.2,,,,2.1,3.0
Brian Evans,1997,1999,,6-8,220,"September 13, 1973",Indiana,Career,,,NBA,102,1,10.8,1.4,3.7,.381,0.4,1.1,.343,1.0,2.6,.396,.430,0.5,0.6,.820,0.5,1.1,1.6,0.8,0.3,0.2,0.4,1.1,3.7
Earl Evans,1980,1980,,6-8,202,"November 11, 1955","USC, UNLV",Career,,,NBA,36,,10.6,1.8,3.9,.450,0.2,0.5,.389,1.6,3.4,.459,.475,0.7,1.2,.571,0.7,1.4,2.1,1.0,0.4,0.0,1.0,1.8,4.4
Jacob Evans,2019,2020,,6-4,210,"June 18, 1997",Cincinnati,Career,,,NBA,59,2,10.5,1.1,3.2,.337,0.3,0.9,.315,0.8,2.3,.346,.382,0.4,0.5,.833,0.3,0.9,1.1,0.9,0.3,0.3,0.6,1.2,2.8
Jawun Evans,2018,2019,,6-0,185,"July 26, 1996",Oklahoma State,Career,,,NBA,56,4,15.1,1.6,4.8,.345,0.3,1.0,.263,1.4,3.8,.367,.373,0.7,0.9,.776,0.2,1.5,1.7,2.0,0.7,0.1,0.9,1.9,4.2
Jeremy Evans,2011,2018,,6-9,200,"October 24, 1987",Western Kentucky,Career,,,NBA,250,9,10.5,1.5,2.6,.569,0.0,0.1,.231,1.4,2.5,.583,.573,0.6,0.8,.687,1.0,1.6,2.6,0.4,0.4,0.5,0.3,1.2,3.5
Maurice Evans,2002,2012,,6-5,220,"November 8, 1978","Wichita State, Texas",Career,,,NBA,562,123,19.4,2.5,5.7,.442,0.8,2.1,.363,1.8,3.7,.487,.508,0.8,1.0,.785,1.0,1.5,2.5,0.7,0.5,0.2,0.5,1.7,6.7
Mike Evans,1980,1988,,6-1,170,"April 19, 1955",Kansas State,Career,,,NBA,591,15,16.7,3.1,6.9,.452,0.4,1.3,.307,2.7,5.6,.485,.480,1.1,1.3,.807,0.3,1.1,1.4,2.6,0.7,0.1,1.4,2.0,7.7
Reggie Evans,2003,2015,,6-8,245,"May 18, 1980",Iowa,Career,,,NBA,809,372,19.2,1.4,2.9,.465,0.0,0.0,.091,1.4,2.9,.467,.466,1.3,2.5,.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1
Tyreke Evans,2010,2019,,6-6,220,"September 19, 1989",Memphis,Career,,,NBA,594,426,30.7,5.9,13.4,.440,0.8,2.6,.323,5.1,10.8,.468,.471,3.1,4.1,.757,0.8,3.7,4.6,4.8,1.2,0.4,2.5,2.2,15.7
Daniel Ewing,2006,2007,,6-3,185,"March 26, 1983",Duke,Career,,,NBA,127,8,13.3,1.3,3.3,.389,0.3,1.0,.295,1.0,2.3,.429,.433,0.6,0.7,.780,0.3,1.0,1.2,1.4,0.5,0.1,0.8,1.2,3.4
Patrick Ewing*,1986,2002,,7-0,240,"August 5, 1962",Georgetown,Career,,,NBA,1183,1122,34.3,8.2,16.3,.504,0.0,0.1,.152,8.2,16.2,.507,.505,4.6,6.2,.740,2.3,7.5,9.8,1.9,1.0,2.4,3.0,3.4,21.0
Patrick Ewing,2011,2011,,6-8,235,"May 20, 1984","Indiana, Georgetown",Career,,,NBA,7,0,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.4,.000,.000,0.4,0.6,.750,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.4
Dante Exum,2015,2021,,6-5,214,"July 13, 1995",,Career,,,NBA,245,72,18.6,2.1,5.1,.407,0.7,2.2,.305,1.4,2.9,.485,.473,0.8,1.1,.764,0.4,1.4,1.8,2.1,0.4,0.2,1.3,1.8,5.7
Christian Eyenga,2011,2012,,6-5,210,"June 22, 1989",,Career,,,NBA,51,18,20.6,2.7,6.5,.411,0.5,1.8,.277,2.2,4.6,.464,.450,0.4,0.7,.611,0.6,2.1,2.7,0.8,0.7,0.6,1.0,1.7,6.3
Festus Ezeli,2013,2016,,6-11,255,"October 21, 1989",Vanderbilt,Career,,,NBA,170,61,14.1,1.6,3.2,.513,0.0,0.0,,1.6,3.2,.513,.513,1.0,1.7,.557,1.7,2.5,4.3,0.4,0.3,1.0,0.8,1.9,4.2
Johnny Ezersky,1948,1950,,6-3,175,"March 21, 1922",Rhode Island,Career,,,TOT,135,,,2.7,9.4,.288,,,,,,,,2.2,3.3,.669,,,,1.3,,,,2.2,7.6
