Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Chauncey Billups,43.68333333333333,3,7,0.429,1,3,0.333,2,3,0.667,0,0,0,1,2,1,0,1,9,-11,Starter,0.541,0.5,0.429,0.429,0.0,0.0,0.0,4.4,2.5,2.2,0.0,9.0,115,118,-0.7,200706020CLE,2007-06-02 20:30:00
Tayshaun Prince,39.78333333333333,1,10,0.1,0,2,0.0,3,4,0.75,0,6,6,6,2,1,1,4,5,-3,Starter,0.213,0.1,0.2,0.4,0.0,18.1,8.4,27.0,2.7,2.4,7.8,15.1,62,107,-2.0,200706020CLE,2007-06-02 20:30:00
Richard Hamilton,36.18333333333333,10,20,0.5,1,1,1.0,8,8,1.0,0,4,4,3,3,0,4,6,29,-4,Starter,0.616,0.525,0.05,0.4,0.0,13.3,6.2,27.0,4.5,0.0,14.5,35.8,108,107,10.4,200706020CLE,2007-06-02 20:30:00
Rasheed Wallace,30.383333333333333,5,14,0.357,0,2,0.0,1,1,1.0,1,1,2,2,3,2,1,6,11,-4,Starter,0.381,0.357,0.143,0.071,3.4,3.9,3.7,15.7,5.4,6.2,6.5,23.9,81,108,1.2,200706020CLE,2007-06-02 20:30:00
Chris Webber,25.766666666666666,5,8,0.625,0,0,,3,3,1.0,2,4,6,0,0,0,1,4,13,-10,Starter,0.697,0.625,0.0,0.375,8.1,18.6,13.0,0.0,0.0,0.0,9.7,18.9,130,114,2.0,200706020CLE,2007-06-02 20:30:00
Antonio McDyess,25.066666666666666,2,8,0.25,0,0,,3,5,0.6,2,4,6,1,1,1,1,4,7,-14,Reserve,0.343,0.25,0.0,0.625,8.3,19.1,13.4,7.9,2.2,3.8,8.9,21.1,78,107,-4.4,200706020CLE,2007-06-02 20:30:00
Lindsey Hunter,16.883333333333333,1,4,0.25,1,4,0.25,1,1,1.0,1,1,2,1,0,0,2,3,4,-15,Reserve,0.45,0.375,1.0,0.25,6.2,7.1,6.6,11.3,0.0,0.0,31.1,18.0,73,120,-10.0,200706020CLE,2007-06-02 20:30:00
Ronald Murray,10.05,1,4,0.25,0,1,0.0,2,2,1.0,1,2,3,2,0,0,0,1,4,-6,Reserve,0.41,0.25,0.25,0.5,10.4,23.9,16.7,41.1,0.0,0.0,0.0,22.9,109,111,4.1,200706020CLE,2007-06-02 20:30:00
Dale Davis,5.65,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,1,0,0,Reserve,,,,,36.9,0.0,19.8,0.0,0.0,0.0,100.0,8.3,74,124,-14.2,200706020CLE,2007-06-02 20:30:00
Carlos Delfino,4.233333333333333,0,2,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,1,1,0,-10,Reserve,0.0,0.0,0.5,0.0,24.6,0.0,13.2,0.0,0.0,0.0,33.3,33.4,20,123,-35.0,200706020CLE,2007-06-02 20:30:00
