player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Lamar Odom,2000,2013,,6-10,220,"November 6, 1979",Rhode Island,Career,,,NBA,961,684,33.4,5.0,10.8,.463,0.7,2.2,.312,4.3,8.6,.502,.495,2.6,3.7,.693,1.9,6.5,8.4,3.7,0.9,0.9,2.3,3.0,13.3
Bud Ogden,1970,1971,,6-6,215,"December 29, 1946",Santa Clara,Career,,,NBA,74,,6.6,1.4,3.2,.445,,,,,,,,0.6,0.9,.692,,,1.4,0.6,,,,1.1,3.5
Ralph Ogden,1971,1971,,6-5,205,"January 25, 1948",Santa Clara,Career,,,NBA,32,,5.1,0.5,2.2,.239,,,,,,,,0.3,0.4,.667,,,1.0,0.3,,,,0.5,1.3
Alan Ogg,1991,1993,,7-2,240,"July 5, 1967",UAB,Career,,,NBA,80,1,8.2,0.9,1.9,.493,0.0,0.0,.000,0.9,1.9,.500,.493,0.3,0.6,.568,0.6,1.1,1.7,0.2,0.2,0.7,0.4,1.7,2.2
Don Ohl,1961,1970,,6-3,190,"April 18, 1936",Illinois,Career,,,NBA,727,,30.8,6.4,14.9,.434,,,,,,,,3.0,4.1,.732,,,3.0,3.1,,,,2.8,15.9
Tim Ohlbrecht,2013,2013,,6-11,255,"August 30, 1988",,Career,,,NBA,3,0,4.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.3,0.0,1.3,0.3,1.0
Semi Ojeleye,2018,2021,,6-6,240,"December 5, 1994","Duke, SMU",Career,,,NBA,254,24,14.6,1.2,3.0,.394,0.7,2.0,.349,0.5,1.0,.481,.509,0.4,0.6,.701,0.5,1.7,2.1,0.5,0.3,0.1,0.3,1.1,3.5
Emeka Okafor,2005,2018,,6-10,252,"September 28, 1982",UConn,Career,,,NBA,616,603,30.9,4.9,9.5,.512,0.0,0.0,.000,4.9,9.5,.512,.512,2.2,3.8,.586,3.2,6.5,9.7,0.8,0.7,1.6,1.6,2.8,12.0
Jahlil Okafor,2016,2021,,6-10,270,"December 15, 1995",Duke,Career,,,NBA,247,116,19.5,4.4,8.2,.542,0.0,0.1,.222,4.4,8.1,.546,.543,1.5,2.3,.676,1.5,3.2,4.7,0.9,0.3,0.8,1.4,2.1,10.4
Chuma Okeke,2021,2021,,6-6,229,"August 18, 1998",Auburn,Career,,,NBA,45,19,25.2,3.0,7.2,.417,1.1,3.1,.348,1.9,4.1,.470,.492,0.7,0.9,.750,0.9,3.1,4.0,2.2,1.1,0.5,0.8,1.1,7.8
Elie Okobo,2019,2020,,6-3,190,"October 23, 1997",,Career,,,NBA,108,19,15.5,1.7,4.4,.395,0.6,1.9,.315,1.1,2.5,.455,.463,0.8,1.1,.737,0.3,1.5,1.7,2.2,0.5,0.1,1.0,1.5,4.8
Josh Okogie,2019,2021,,6-4,213,"September 1, 1998",Georgia Tech,Career,,,NBA,195,117,23.1,2.4,5.9,.403,0.7,2.4,.273,1.7,3.5,.495,.459,1.8,2.4,.766,1.0,2.3,3.3,1.3,1.1,0.4,1.0,2.2,7.3
Onyeka Okongwu,2021,2021,,6-8,235,"December 11, 2000",USC,Career,,,NBA,50,4,12.0,1.9,3.0,.644,0.0,0.1,.000,1.9,2.9,.658,.644,0.7,1.1,.632,1.2,2.0,3.3,0.4,0.5,0.7,0.6,2.0,4.6
Isaac Okoro,2021,2021,,6-5,225,"January 26, 2001",Auburn,Career,,,NBA,67,67,32.4,3.5,8.3,.420,0.9,3.2,.290,2.6,5.1,.501,.476,1.7,2.3,.726,1.0,2.1,3.1,1.9,0.9,0.4,1.3,2.8,9.6
KZ Okpala,2020,2021,,6-8,215,"April 28, 1999",Stanford,Career,,,NBA,42,9,11.3,0.9,2.4,.386,0.3,1.2,.235,0.6,1.2,.540,.446,0.2,0.4,.529,0.5,1.2,1.7,0.5,0.3,0.3,0.4,1.5,2.4
Mehmet Okur,2003,2012,,6-11,249,"May 26, 1979",,Career,,,NBA,634,460,29.1,4.8,10.4,.458,0.9,2.5,.375,3.8,7.9,.484,.503,3.0,3.8,.797,2.0,5.0,7.0,1.7,0.5,0.7,1.6,2.9,13.5
Victor Oladipo,2014,2021,,6-4,213,"May 4, 1992",Indiana,Career,,,NBA,454,394,33.0,6.4,14.7,.438,1.6,4.6,.347,4.8,10.1,.480,.492,3.0,3.8,.791,0.6,4.0,4.6,4.0,1.6,0.5,2.6,2.4,17.5
Hakeem Olajuwon*,1985,2002,,7-0,255,"January 21, 1963",Houston,Career,,,NBA,1238,1186,35.7,8.7,17.0,.512,0.0,0.1,.202,8.7,16.9,.514,.513,4.4,6.2,.712,3.3,7.8,11.1,2.5,1.7,3.1,3.0,3.5,21.8
Mark Olberding,1976,1987,,6-8,225,"April 21, 1956",Minnesota,Career,,,TOT,946,301,25.0,3.3,6.7,.492,0.0,0.1,.122,3.3,6.7,.494,.492,2.8,3.5,.808,1.5,3.8,5.3,2.5,0.7,0.3,1.9,3.3,9.5
Jawann Oldham,1981,1991,,7-0,215,"July 4, 1957",Seattle University,Career,,,NBA,329,69,15.9,1.8,3.9,.479,0.0,0.0,.000,1.8,3.8,.480,.479,0.7,1.2,.607,1.3,2.8,4.1,0.5,0.3,1.7,1.1,2.5,4.4
John Oldham,1950,1951,,6-3,175,"June 22, 1923",Western Kentucky,Career,,,NBA,127,,,2.6,8.1,.319,,,,,,,,2.2,3.4,.627,,,3.6,1.8,,,,3.4,7.3
Frank Oleynick,1976,1977,,6-2,185,"February 20, 1955",Seattle University,Career,,,NBA,102,,11.4,2.0,5.3,.386,,,,,,,,0.9,1.3,.708,0.2,0.7,0.9,1.1,0.3,0.1,,1.1,5.0
John Olive,1979,1980,,6-7,210,"March 1, 1955",Villanova,Career,,,NBA,35,,5.8,0.4,1.2,.310,0.0,0.0,,0.4,1.2,.310,.310,0.5,0.7,.783,0.1,0.5,0.6,0.1,0.1,0.0,0.4,1.0,1.3
Brian Oliver,1991,1998,,6-4,210,"June 1, 1968",Georgia Tech,Career,,,NBA,118,4,10.0,1.3,3.4,.388,0.0,0.2,.227,1.3,3.2,.397,.394,0.6,0.9,.705,0.3,0.8,1.0,1.0,0.4,0.1,0.7,1.0,3.3
Cameron Oliver,2021,2021,,6-8,239,"July 11, 1996",Nevada,Career,,,NBA,4,0,21.8,4.8,8.3,.576,1.0,3.3,.308,3.8,5.0,.750,.636,0.3,1.0,.250,1.3,4.0,5.3,1.3,0.5,1.0,0.8,2.8,10.8
Dean Oliver,2002,2003,,5-11,180,"November 5, 1978",Iowa,Career,,,NBA,35,0,6.6,0.7,2.1,.320,0.1,0.5,.158,0.6,1.6,.375,.340,0.4,0.5,.765,0.2,0.5,0.7,1.3,0.3,0.0,0.6,0.7,1.8
Jimmy Oliver,1992,1999,,6-5,205,"July 12, 1969",Purdue,Career,,,NBA,78,14,11.0,1.7,4.3,.407,0.2,0.6,.340,1.5,3.6,.418,.432,0.6,0.7,.772,0.2,0.8,1.0,0.7,0.3,0.0,0.4,0.8,4.2
Kevin Ollie,1998,2010,,6-4,195,"December 27, 1972",UConn,Career,,,NBA,662,100,15.6,1.3,3.1,.410,0.0,0.0,.310,1.3,3.1,.412,.412,1.2,1.5,.792,0.2,1.3,1.5,2.3,0.5,0.0,0.7,1.2,3.8
Gene Ollrich,1950,1950,,5-11,160,"June 30, 1922",Drake University,Career,,,NBA,14,,,1.2,5.1,.236,,,,,,,,0.7,1.0,.714,,,,1.7,,,,2.4,3.1
