player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Demetris Nichols,2008,2009,,6-8,216,"September 4, 1984",Syracuse,Career,,,NBA,18,0,3.2,0.5,1.8,.281,0.2,0.8,.200,0.3,0.9,.353,.328,0.1,0.1,.500,0.0,0.4,0.4,0.1,0.0,0.2,0.2,0.3,1.2
Jack Nichols,1949,1958,,6-7,222,"April 9, 1926",Washington,Career,,,TOT,505,,26.9,4.0,10.9,.368,,,,,,,,2.4,3.2,.752,,,6.9,1.9,,,,3.0,10.4
Andrew Nicholson,2013,2017,,6-9,250,"December 8, 1989",St. Bonaventure,Career,,,NBA,285,36,14.3,2.5,5.3,.467,0.3,1.0,.321,2.2,4.4,.498,.495,0.7,0.9,.773,0.7,2.3,3.0,0.4,0.3,0.3,0.7,1.6,6.0
Gaylon Nickerson,1997,1997,,6-3,190,"February 5, 1969","Wichita State, Butler County Community College, Kansas State, Northwestern Oklahoma State University",Career,,,NBA,4,0,10.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.8,1.8,1.000,0.3,1.0,1.3,0.3,0.3,0.3,0.3,0.3,3.8
Carl Nicks,1981,1983,,6-1,175,"October 6, 1958",Indiana State University,Career,,,NBA,156,3,16.5,2.9,6.2,.462,0.0,0.1,.000,2.9,6.2,.467,.462,1.1,1.9,.570,0.7,1.2,1.9,1.6,0.8,0.0,1.5,2.2,6.8
Rich Niemann,1969,1972,,7-0,245,"July 2, 1946",Saint Louis,Career,,,TOT,187,,15.6,2.7,5.6,.476,0.0,0.0,,2.7,5.6,.476,.476,1.2,1.7,.735,2.0,4.6,5.8,0.8,,,1.5,2.7,6.6
Richie Niemiera,1949,1950,,6-1,165,"May 26, 1921",Notre Dame,Career,,,TOT,115,,,2.0,5.9,.330,,,,,,,,2.1,2.6,.776,,,,1.8,,,,1.7,6.0
Mike Niles,1981,1981,,6-6,225,"March 31, 1955",Cal State Fullerton,Career,,,NBA,44,,5.3,1.1,3.1,.348,0.0,0.1,.500,1.0,3.0,.343,.355,0.4,0.8,.459,0.6,0.7,1.3,0.3,0.2,0.0,0.6,0.9,2.6
Kurt Nimphius,1982,1990,,6-10,218,"March 13, 1958",Arizona State,Career,,,NBA,564,210,20.3,2.6,5.3,.487,0.0,0.0,.100,2.6,5.3,.489,.487,1.2,1.9,.668,1.6,2.8,4.4,1.2,0.3,1.2,1.0,2.9,6.4
Dyron Nix,1990,1990,,6-7,210,"February 11, 1967",Tennessee,Career,,,NBA,20,0,5.5,0.7,2.0,.359,0.0,0.0,,0.7,2.0,.359,.359,0.6,0.8,.688,0.4,0.9,1.3,0.3,0.2,0.1,0.4,0.8,2.0
Norm Nixon,1978,1989,,6-2,170,"October 11, 1955",Duquesne,Career,,,NBA,768,416,35.5,6.8,14.1,.483,0.2,0.6,.294,6.7,13.6,.489,.488,2.0,2.6,.772,0.6,2.0,2.6,8.3,1.5,0.1,3.1,2.6,15.7
Zeke Nnaji,2021,2021,,6-9,240,"January 9, 2001",Arizona,Career,,,NBA,42,1,9.5,1.2,2.5,.481,0.6,1.4,.407,0.6,1.1,.578,.596,0.3,0.4,.800,0.3,1.2,1.5,0.2,0.2,0.1,0.2,0.7,3.2
Joakim Noah,2008,2020,,6-11,230,"February 25, 1985",Florida,Career,,,NBA,672,512,27.7,3.3,6.8,.491,0.0,0.0,.000,3.3,6.8,.493,.491,2.1,2.9,.700,3.2,5.8,9.0,2.8,0.8,1.3,1.7,2.8,8.8
Chuck Noble,1956,1962,,6-4,190,"July 24, 1931",Louisville,Career,,,NBA,411,,22.4,3.3,9.6,.346,,,,,,,,1.3,1.8,.731,,,2.6,3.3,,,,2.7,8.0
Andrés Nocioni,2005,2012,,6-7,225,"November 30, 1979",,Career,,,NBA,514,203,23.4,3.8,8.7,.431,1.1,3.1,.373,2.6,5.6,.463,.497,1.9,2.3,.799,0.7,3.8,4.5,1.2,0.4,0.4,1.4,2.7,10.5
David Noel,2007,2007,,6-6,230,"February 27, 1984",UNC,Career,,,NBA,68,0,11.6,1.0,2.6,.367,0.3,0.8,.321,0.7,1.8,.387,.415,0.5,0.6,.860,0.6,1.2,1.8,1.0,0.4,0.1,0.6,1.1,2.7
Nerlens Noel,2015,2021,,6-11,220,"April 10, 1994",Kentucky,Career,,,NBA,425,208,22.4,3.1,5.7,.549,0.0,0.0,.200,3.1,5.7,.551,.550,1.3,2.0,.653,2.0,4.3,6.2,1.1,1.3,1.5,1.3,2.6,7.6
Paul Noel,1948,1952,,6-4,185,"August 17, 1924",Kentucky,Career,,,TOT,201,,4.0,1.3,4.4,.291,,,,,,,,0.7,1.1,.636,,,1.4,0.7,,,,1.6,3.3
Lucas Nogueira,2015,2018,,7-0,241,"July 26, 1992",,Career,,,NBA,141,10,12.4,1.3,2.0,.632,0.1,0.2,.265,1.2,1.8,.681,.648,0.5,0.8,.640,0.9,1.9,2.8,0.5,0.6,1.0,0.5,1.6,3.2
Jim Nolan,1950,1950,,6-8,210,"June 9, 1927",Georgia Tech,Career,,,NBA,5,,,0.8,4.2,.190,,,,,,,,0.0,0.0,,,,,0.8,,,,2.8,1.6
Paul Nolen,1954,1954,,6-10,,"September 3, 1929",Texas Tech,Career,,,NBA,1,,2.0,0.0,1.0,.000,,,,,,,,0.0,0.0,,,,1.0,0.0,,,,1.0,0.0
Jeff Nordgaard,1998,1998,,6-7,225,"February 23, 1973",Green Bay,Career,,,NBA,13,0,3.7,0.4,1.4,.278,0.0,0.0,,0.4,1.4,.278,.278,0.6,0.7,.889,0.3,0.8,1.1,0.2,0.2,0.0,0.2,0.5,1.4
Bevo Nordmann,1962,1965,,6-10,225,"December 11, 1939",Saint Louis,Career,,,NBA,133,,12.2,1.8,3.9,.459,,,,,,,,0.7,1.5,.490,,,3.9,0.5,,,,2.2,4.3
Johnny Norlander,1947,1951,,6-3,180,"March 5, 1921",Hamline University,Career,,,TOT,217,,,3.0,9.2,.329,,,,,,,,2.3,3.4,.677,,,1.0,1.0,,,,2.0,8.3
Connie Norman,1975,1979,,6-3,175,"September 24, 1953",Arizona,Career,,,NBA,99,,12.3,2.8,6.4,.439,,,,,,,,0.4,0.5,.820,0.7,0.8,1.5,0.9,0.4,0.1,1.0,1.3,6.0
Ken Norman,1988,1997,,6-8,215,"September 5, 1964",Illinois,Career,,,NBA,646,441,29.4,5.8,11.9,.486,0.4,1.1,.312,5.4,10.8,.504,.501,1.6,2.8,.567,2.1,4.0,6.1,2.1,0.8,0.7,1.8,2.3,13.5
Audie Norris,1983,1985,,6-9,230,"December 18, 1960",Jackson State University,Career,,,NBA,187,14,13.8,1.5,3.0,.511,0.0,0.0,.000,1.5,2.9,.514,.511,1.4,2.0,.662,1.1,2.0,3.1,0.8,0.5,0.4,1.3,2.7,4.4
Moochie Norris,1997,2006,,6-1,175,"July 27, 1973","Auburn, University of West Florida",Career,,,NBA,445,35,17.2,1.8,4.6,.401,0.3,0.9,.286,1.6,3.7,.430,.430,1.2,1.6,.740,0.5,1.5,2.0,2.8,0.7,0.0,1.2,1.1,5.1
Sylvester Norris,1980,1980,,6-11,220,"February 18, 1957",Jackson State University,Career,,,NBA,17,,11.1,1.1,2.5,.419,0.0,0.0,,1.1,2.5,.419,.419,0.2,0.4,.667,0.6,1.9,2.5,0.4,0.2,0.7,1.1,2.4,2.4
Zach Norvell,2020,2020,,6-5,206,"December 9, 1997",Gonzaga,Career,,,NBA,5,0,8.2,0.6,2.4,.250,0.6,1.6,.375,0.0,0.8,.000,.375,0.2,0.2,1.000,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0
Willie Norwood,1972,1978,,6-7,220,"August 8, 1947",Alcorn State,Career,,,NBA,430,,17.1,2.8,5.8,.488,,,,,,,,1.8,2.6,.697,1.4,2.1,3.7,0.8,0.8,0.1,1.6,2.4,7.5
George Nostrand,1947,1950,,6-8,195,"January 25, 1924",Wyoming,Career,,,TOT,221,,,3.1,10.1,.305,,,,,,,,2.0,3.8,.538,,,,0.8,,,,2.6,8.2
Stan Noszka,1947,1949,,6-1,185,"September 9, 1920",Duquesne,Career,,,BAA,110,,,2.3,8.3,.280,,,,,,,,1.3,2.0,.667,,,,0.6,,,,2.5,6.0
Mike Novak,1949,1954,,6-9,219,"April 23, 1915",Loyola Chicago,Career,,,TOT,125,,4.8,1.3,4.2,.310,,,,,,,,0.8,1.4,.566,,,0.4,1.4,,,,2.7,3.4
Steve Novak,2007,2017,,6-10,225,"June 13, 1983",Marquette,Career,,,NBA,467,6,12.1,1.6,3.7,.437,1.2,2.9,.430,0.4,0.8,.463,.605,0.2,0.2,.877,0.1,1.1,1.3,0.3,0.2,0.1,0.2,0.8,4.7
Jaylen Nowell,2020,2021,,6-4,201,"July 9, 1999",Washington,Career,,,NBA,57,0,16.0,2.8,6.8,.415,0.9,3.1,.301,1.9,3.7,.509,.483,1.1,1.3,.847,0.4,1.5,1.9,1.4,0.4,0.2,0.5,1.5,7.6
Mel Nowell,1963,1968,,6-2,170,"December 27, 1939",Ohio State,Career,,,TOT,115,,18.6,3.2,8.0,.398,0.1,0.4,.281,3.1,7.7,.403,.403,1.9,2.4,.803,,,2.3,2.1,,,1.9,2.4,8.4
Dirk Nowitzki,1999,2019,,7-0,245,"June 19, 1978",,Career,,,NBA,1522,1460,33.8,7.3,15.6,.471,1.3,3.4,.380,6.0,12.2,.496,.512,4.8,5.4,.879,1.0,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7
Frank Ntilikina,2018,2021,,6-4,200,"July 28, 1998",,Career,,,NBA,211,55,19.5,2.1,5.7,.366,0.7,2.2,.328,1.4,3.5,.389,.429,0.6,0.8,.749,0.4,1.6,2.0,2.7,0.8,0.2,1.3,2.2,5.5
Kendrick Nunn,2020,2021,,6-2,190,"August 3, 1995","Illinois, Oakland",Career,,,NBA,123,111,29.4,5.9,12.8,.458,2.1,5.8,.364,3.7,7.0,.535,.540,1.1,1.3,.881,0.3,2.6,2.9,3.0,0.9,0.2,1.6,2.1,15.0
James Nunnally,2014,2021,,6-7,208,"July 14, 1990",UC Santa Barbara,Career,,,NBA,37,0,8.5,0.9,2.5,.344,0.5,1.7,.323,0.3,0.8,.387,.452,0.3,0.4,.733,0.1,0.8,0.9,0.5,0.2,0.1,0.3,0.6,2.6
Jusuf Nurkić,2015,2021,,6-11,290,"August 23, 1994",,Career,,,NBA,355,274,23.2,4.7,9.5,.494,0.0,0.2,.207,4.7,9.3,.501,.496,2.3,3.5,.668,2.5,5.7,8.2,2.1,0.9,1.3,2.0,3.1,11.8
Dennis Nutt,1987,1987,,6-2,170,"March 25, 1963",TCU,Career,,,NBA,25,0,3.6,0.6,1.6,.400,0.2,0.7,.294,0.4,0.9,.478,.463,0.8,0.9,.909,0.0,0.3,0.3,0.6,0.3,0.0,0.4,0.2,2.3
David Nwaba,2017,2021,,6-5,219,"January 14, 1993",Cal Poly,Career,,,NBA,191,46,20.8,2.7,5.5,.491,0.4,1.2,.323,2.3,4.4,.536,.525,1.5,2.2,.666,1.0,2.7,3.7,1.1,0.8,0.5,0.7,2.1,7.3
Jordan Nwora,2021,2021,,6-8,225,"September 9, 1998",Louisville,Career,,,NBA,30,2,9.1,2.1,4.5,.459,0.9,2.1,.452,1.1,2.4,.466,.563,0.6,0.8,.760,0.3,1.7,2.0,0.2,0.5,0.2,0.8,0.7,5.7
Julius Nwosu,1995,1995,,6-10,255,"May 1, 1971",Liberty,Career,,,NBA,23,0,3.7,0.4,1.2,.321,0.0,0.0,,0.4,1.2,.321,.321,0.6,0.7,.765,0.5,0.6,1.0,0.1,0.0,0.1,0.4,0.9,1.3
