Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Jason Kidd,42.7,,,,,,,,,,,,,,,,,,,,Starter,0.435,0.442,0.115,0.038,12.4,10.9,11.8,45.2,3.7,0.0,3.6,26.3,115,108,14.8,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,11.0,26.0,0.423,1.0,3.0,0.333,0.0,1.0,0.0,6.0,4.0,10.0,10.0,3.0,0.0,1.0,1.0,23.0,3.0
Kenyon Martin,37.36666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.404,0.341,0.136,0.409,7.2,9.5,8.2,9.3,0.0,2.1,10.4,32.3,91,115,-2.4,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,7.0,22.0,0.318,1.0,3.0,0.333,6.0,9.0,0.667,3.0,3.0,6.0,2.0,0.0,1.0,3.0,3.0,21.0,0.0
Keith Van Horn,35.13333333333333,,,,,,,,,,,,,,,,,,,,Starter,0.429,0.429,0.429,0.0,5.1,13.4,8.7,4.5,0.0,0.0,22.2,21.2,78,113,-8.8,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,5.0,14.0,0.357,2.0,6.0,0.333,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,4.0,6.0,12.0,-12.0
Todd MacCulloch,24.95,,,,,,,,,,,,,,,,,,,,Starter,0.506,0.556,0.0,0.222,21.3,9.4,16.2,0.0,4.3,3.1,16.8,19.6,99,105,1.5,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,5.0,9.0,0.556,0.0,0.0,,0.0,2.0,0.0,6.0,2.0,8.0,0.0,2.0,1.0,2.0,3.0,10.0,-3.0
Kerry Kittles,24.95,,,,,,,,,,,,,,,,,,,,Starter,0.571,0.5,0.286,0.286,0.0,0.0,0.0,6.1,0.0,3.1,11.3,14.6,117,118,0.9,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,3.0,7.0,0.429,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,-3.0
Lucious Harris,24.7,,,,,,,,,,,,,,,,,,,,Reserve,0.37,0.2,0.4,0.8,3.6,9.4,6.1,10.9,0.0,0.0,0.0,11.1,109,115,-4.5,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,1.0,5.0,0.2,0.0,2.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0
Richard Jefferson,21.85,,,,,,,,,,,,,,,,,,,,Reserve,0.41,0.5,0.0,0.5,0.0,31.9,13.8,6.7,2.4,0.0,0.0,9.1,95,101,-1.3,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,3.0,4.0,-1.0
Aaron Williams,14.533333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.4,0.4,0.0,0.0,5.9,23.4,13.5,10.5,10.6,5.2,0.0,13.7,108,85,10.3,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,3.0,1.0,0.0,4.0,4.0,-7.0
Jason Collins,8.516666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.906,1.0,0.0,4.0,22.2,0.0,12.6,19.4,0.0,0.0,0.0,14.2,195,116,7.9,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,0.75,2.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0
Anthony Johnson,5.3,,,,,,,,,,,,,,,,,,,,Reserve,0.266,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,68,120,-10.3,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.0
Kobe Bryant,43.06666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.528,0.375,0.125,0.688,2.7,4.1,3.5,25.5,1.2,0.0,16.1,25.7,111,111,-0.2,,,,,,,,,,,,,,,,,,,,200206050LAL,2002-06-05 21:00:00,6.0,16.0,0.375,0.0,2.0,0.0,10.0,11.0,0.909,1.0,2.0,3.0,6.0,1.0,0.0,4.0,2.0,22.0,7.0
