Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Dirk Nowitzki,42.05,10,22,0.455,1,2,0.5,3,3,1.0,1,10,11,4,0,1,5,2,24,13,Starter,0.515,0.477,0.091,0.136,3.3,31.7,17.7,18.6,0.0,2.7,17.7,31.6,97,106,1.3,201106020MIA,2011-06-02 21:00:00
Shawn Marion,40.88333333333333,9,14,0.643,0,0,,2,2,1.0,3,5,8,3,1,1,3,2,20,1,Starter,0.672,0.643,0.0,0.143,10.1,16.3,13.2,13.8,1.3,2.7,16.8,20.5,123,106,7.4,201106020MIA,2011-06-02 21:00:00
Tyson Chandler,38.1,4,6,0.667,0,0,,5,8,0.625,4,3,7,0,1,0,0,5,13,4,Starter,0.683,0.667,0.0,1.333,14.4,10.5,12.4,0.0,1.4,0.0,0.0,11.7,154,108,2.5,201106020MIA,2011-06-02 21:00:00
Jason Kidd,37.55,2,7,0.286,2,5,0.4,0,0,,1,7,8,5,1,0,5,1,6,1,Starter,0.429,0.429,0.714,0.0,3.7,24.9,14.4,19.1,1.5,0.0,41.7,15.0,72,106,-3.9,201106020MIA,2011-06-02 21:00:00
DeShawn Stevenson,22.15,3,6,0.5,3,5,0.6,0,0,,1,2,3,0,3,0,1,2,9,-5,Starter,0.75,0.75,0.833,0.0,6.2,12.0,9.2,0.0,7.4,0.0,14.3,14.8,131,95,13.6,201106020MIA,2011-06-02 21:00:00
Jason Terry,31.083333333333332,5,11,0.455,0,2,0.0,6,6,1.0,1,0,1,5,2,0,2,4,16,13,Reserve,0.587,0.455,0.182,0.545,4.4,0.0,2.2,27.3,3.5,0.0,12.8,23.6,124,105,6.1,201106020MIA,2011-06-02 21:00:00
J.J. Barea,14.05,2,7,0.286,0,3,0.0,1,2,0.5,0,3,3,1,0,0,0,1,5,-11,Reserve,0.317,0.286,0.429,0.286,0.0,28.5,14.4,11.7,0.0,0.0,0.0,26.3,82,109,-8.7,201106020MIA,2011-06-02 21:00:00
Brendan Haywood,8.183333333333334,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,2,2,5,Reserve,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,17.2,65,112,-12.9,201106020MIA,2011-06-02 21:00:00
Peja Stojaković,4.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.5,0,114,-13.5,201106020MIA,2011-06-02 21:00:00
Brian Cardinal,1.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-23.0,201106020MIA,2011-06-02 21:00:00
Dwyane Wade,42.15,13,20,0.65,2,7,0.286,8,12,0.667,2,3,5,6,3,1,1,2,36,5,Starter,0.712,0.7,0.35,0.6,6.3,9.8,8.0,35.6,3.9,2.0,3.8,31.3,148,108,19.9,201106020MIA,2011-06-02 21:00:00
Chris Bosh,39.78333333333333,4,16,0.25,0,0,,4,4,1.0,2,6,8,0,1,0,2,3,12,3,Starter,0.338,0.25,0.0,0.25,6.7,20.7,13.6,0.0,1.4,0.0,10.1,24.9,71,112,-13.2,201106020MIA,2011-06-02 21:00:00
LeBron James,39.61666666666667,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,4,20,-5,Starter,0.597,0.6,0.467,0.267,3.4,24.2,13.7,19.9,5.5,2.1,23.0,27.6,99,101,4.0,201106020MIA,2011-06-02 21:00:00
Joel Anthony,26.816666666666666,0,0,,0,0,,0,0,,0,1,1,0,0,3,0,3,0,2,Starter,,,,,0.0,5.1,2.5,0.0,0.0,9.3,,0.0,0,113,-2.8,201106020MIA,2011-06-02 21:00:00
Mike Bibby,22.1,5,8,0.625,4,7,0.571,0,0,,0,1,1,0,4,0,1,0,14,7,Starter,0.875,0.875,0.875,0.0,0.0,6.2,3.1,0.0,9.9,0.0,11.1,20.5,145,98,20.5,201106020MIA,2011-06-02 21:00:00
Udonis Haslem,29.433333333333334,1,3,0.333,0,0,,0,0,,1,2,3,0,1,0,2,2,2,-12,Reserve,0.333,0.333,0.0,0.0,4.5,9.3,6.9,0.0,1.9,0.0,40.0,8.5,52,114,-9.7,201106020MIA,2011-06-02 21:00:00
Mario Chalmers,24.933333333333334,3,8,0.375,1,6,0.167,2,4,0.5,0,0,0,3,1,0,1,1,9,-7,Reserve,0.461,0.438,0.75,0.5,0.0,0.0,0.0,20.5,2.2,0.0,9.3,21.7,98,116,-3.4,201106020MIA,2011-06-02 21:00:00
Mike Miller,15.166666666666666,0,3,0.0,0,3,0.0,0,0,,0,4,4,0,1,1,0,2,0,-3,Reserve,0.0,0.0,1.0,0.0,0.0,36.2,17.8,0.0,3.6,5.5,0.0,9.9,0,99,-8.5,201106020MIA,2011-06-02 21:00:00
LeBron James,45.25,6,14,0.429,1,4,0.25,4,4,1.0,0,3,3,9,2,0,4,3,17,1,Starter,0.539,0.464,0.286,0.286,0.0,8.2,4.1,34.5,2.6,0.0,20.2,22.2,104,108,2.8,201106050DAL,2011-06-05 20:00:00
Dwyane Wade,38.63333333333333,12,21,0.571,2,4,0.5,3,4,0.75,3,8,11,3,1,1,0,3,29,-1,Starter,0.637,0.619,0.19,0.19,9.6,25.5,17.5,19.5,1.5,2.5,0.0,29.9,137,101,17.7,201106050DAL,2011-06-05 20:00:00
Chris Bosh,37.483333333333334,7,18,0.389,0,0,,4,5,0.8,1,2,3,1,0,0,2,4,18,-10,Starter,0.446,0.389,0.0,0.278,3.3,6.6,4.9,5.1,0.0,0.0,9.0,30.1,89,114,-7.8,201106050DAL,2011-06-05 20:00:00
Joel Anthony,23.083333333333332,1,4,0.25,0,0,,0,0,,4,2,6,1,1,2,0,2,2,3,Starter,0.25,0.25,0.0,0.0,21.3,10.7,16.0,6.5,2.5,8.5,0.0,8.8,108,102,2.1,201106050DAL,2011-06-05 20:00:00
Mike Bibby,19.116666666666667,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,1,1,1,4,3,-4,Starter,0.3,0.3,0.8,0.0,0.0,12.9,6.4,8.0,3.1,5.1,16.7,15.9,60,101,-5.8,201106050DAL,2011-06-05 20:00:00
Udonis Haslem,29.016666666666666,3,7,0.429,0,0,,0,0,,1,3,4,1,1,1,1,4,6,5,Reserve,0.429,0.429,0.0,0.0,4.2,12.7,8.5,5.7,2.0,3.4,12.5,14.0,86,105,-3.3,201106050DAL,2011-06-05 20:00:00
Mario Chalmers,28.833333333333332,4,8,0.5,4,6,0.667,0,0,,0,4,4,2,0,0,1,3,12,6,Reserve,0.75,0.75,0.75,0.0,0.0,17.1,8.5,12.2,0.0,0.0,11.1,15.8,131,110,4.6,201106050DAL,2011-06-05 20:00:00
Mike Miller,12.166666666666666,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,2,0,1,3,0,4,Reserve,0.0,0.0,1.0,0.0,0.0,20.2,10.1,11.6,9.6,0.0,50.0,8.3,26,86,-2.3,201106050DAL,2011-06-05 20:00:00
Juwan Howard,6.416666666666667,0,0,,0,0,,1,2,0.5,0,1,1,1,0,0,0,1,1,6,Reserve,0.568,,,,0.0,19.2,9.6,22.0,0.0,0.0,0.0,7.0,146,109,3.2,201106050DAL,2011-06-05 20:00:00
Shawn Marion,43.13333333333333,4,12,0.333,0,1,0.0,2,2,1.0,2,2,4,3,0,1,2,2,10,-1,Starter,0.388,0.333,0.083,0.167,5.7,5.7,5.7,14.2,0.0,1.9,13.4,17.3,89,113,-3.9,201106050DAL,2011-06-05 20:00:00
Dirk Nowitzki,41.96666666666667,11,21,0.524,3,5,0.6,9,9,1.0,1,10,11,1,1,3,3,1,34,12,Starter,0.681,0.595,0.238,0.429,2.9,29.3,16.1,7.4,1.4,5.8,10.7,33.4,128,99,16.9,201106050DAL,2011-06-05 20:00:00
Tyson Chandler,40.0,1,4,0.25,0,0,,3,4,0.75,7,4,11,0,1,3,0,2,5,4,Starter,0.434,0.25,0.0,1.0,21.5,12.3,16.9,0.0,1.5,6.1,0.0,7.2,137,104,1.4,201106050DAL,2011-06-05 20:00:00
Jason Kidd,35.45,3,8,0.375,2,5,0.4,1,2,0.5,1,5,6,10,0,1,4,2,9,5,Starter,0.507,0.5,0.625,0.25,3.5,17.4,10.4,56.6,0.0,2.3,31.1,18.2,100,109,2.8,201106050DAL,2011-06-05 20:00:00
DeShawn Stevenson,14.2,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,-7,Starter,1.5,1.5,1.0,0.0,0.0,8.7,4.3,13.7,0.0,0.0,0.0,3.5,278,113,7.8,201106050DAL,2011-06-05 20:00:00
Jason Terry,32.05,5,13,0.385,1,3,0.333,4,6,0.667,0,3,3,2,1,0,0,0,15,-6,Reserve,0.48,0.423,0.231,0.462,0.0,11.5,5.8,14.6,1.8,0.0,0.0,24.4,112,109,2.8,201106050DAL,2011-06-05 20:00:00
