player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Barry Kramer,1965,1970,,6-4,200,"November 10, 1942",NYU,Career,,,TOT,59,,9.5,1.2,3.7,.336,0.0,0.1,.000,1.2,3.7,.338,.336,1.1,1.6,.728,1.0,0.9,1.9,0.7,,,1.6,1.3,3.6
Joel Kramer,1979,1983,,6-7,203,"November 30, 1955",San Diego State,Career,,,NBA,328,4,12.8,1.5,3.1,.479,0.0,0.0,.000,1.5,3.1,.481,.479,0.9,1.2,.737,1.0,1.8,2.8,1.0,0.4,0.2,0.8,1.8,3.8
Steven Kramer,1968,1970,,6-5,200,"January 1, 1945",BYU,Career,,,ABA,124,,18.5,3.1,7.1,.429,0.0,0.1,.125,3.1,7.1,.432,.430,2.3,3.0,.780,0.9,1.0,2.5,1.9,,,1.7,2.5,8.5
Dan Kraus,1949,1949,,6-0,195,"February 13, 1923",Georgetown,Career,,,BAA,13,,,0.4,2.7,.143,,,,,,,,0.8,1.8,.458,,,,0.5,,,,1.8,1.6
Herb Krautblatt,1949,1949,,6-1,190,"November 19, 1926",Rider University,Career,,,BAA,10,,,0.4,1.8,.222,,,,,,,,0.5,1.1,.455,,,,0.4,,,,1.4,1.3
Viacheslav Kravtsov,2013,2014,,7-0,260,"August 25, 1987",,Career,,,NBA,45,0,6.3,0.9,1.4,.672,0.0,0.0,,0.9,1.4,.672,.672,0.3,1.0,.333,0.7,0.6,1.4,0.2,0.1,0.2,0.4,0.9,2.2
Jim Krebs,1958,1964,,6-8,230,"September 8, 1935",SMU,Career,,,NBA,515,,20.7,3.3,8.1,.405,,,,,,,,1.4,1.9,.755,,,6.2,0.8,,,,3.0,8.0
Wayne Kreklow,1981,1981,,6-4,175,"January 4, 1957",Drake University,Career,,,NBA,25,0,4.0,0.4,1.9,.234,0.0,0.2,.250,0.4,1.7,.233,.245,0.3,0.4,.700,0.1,0.4,0.5,0.4,0.1,0.0,0.4,0.8,1.2
Tommy Kron,1967,1970,,6-5,200,"February 28, 1943",Kentucky,Career,,,TOT,224,,16.2,2.3,5.8,.387,0.2,0.5,.368,2.2,5.7,.387,.390,1.5,1.9,.768,0.6,1.1,3.0,2.7,,,1.5,2.3,6.0
Tom Kropp,1976,1977,,6-3,205,"February 12, 1953",University of Nebraska at Kearney,Career,,,NBA,78,,7.1,1.0,2.3,.440,,,,,,,,0.4,0.6,.702,0.3,0.5,0.8,0.6,0.3,0.0,,1.2,2.5
Nenad Krstić,2005,2011,,7-0,240,"July 25, 1983",,Career,,,NBA,419,373,25.2,4.1,8.3,.494,0.0,0.0,.143,4.1,8.3,.495,.494,1.8,2.5,.730,1.8,3.6,5.4,0.8,0.4,0.7,1.2,3.0,10.0
Larry Krystkowiak,1987,1997,,6-9,220,"September 23, 1964",Montana,Career,,,NBA,420,134,21.7,3.1,6.7,.457,0.0,0.1,.139,3.1,6.7,.461,.458,2.0,2.5,.795,1.5,3.4,4.9,1.2,0.6,0.1,1.2,2.5,8.2
Steve Kuberski,1970,1978,,6-8,215,"November 6, 1947",Bradley,Career,,,NBA,568,,13.9,2.2,5.3,.417,,,,,,,,1.1,1.4,.767,1.1,1.8,3.8,0.6,0.1,0.1,0.7,1.6,5.5
Leo Kubiak,1950,1950,,5-11,160,"December 25, 1927",Bowling Green,Career,,,NBA,62,,,4.2,12.8,.326,,,,,,,,3.1,3.8,.814,,,,3.2,,,,4.0,11.5
Bruce Kuczenski,1984,1984,,6-10,230,"February 3, 1961",UConn,Career,,,NBA,15,2,7.9,0.7,2.5,.270,0.0,0.0,,0.7,2.5,.270,.270,0.5,0.8,.667,0.5,1.1,1.5,0.5,0.1,0.1,1.0,1.2,1.9
Frank Kudelka,1950,1953,,6-2,193,"June 25, 1925",Saint Mary's,Career,,,NBA,228,,21.3,2.7,8.1,.331,,,,,,,,1.8,2.6,.708,,,3.2,2.1,,,,3.2,7.2
John Kuester,1978,1980,,6-2,180,"February 6, 1955",UNC,Career,,,NBA,135,,11.3,1.3,3.0,.427,0.0,0.0,.000,1.3,3.0,.428,.427,0.8,0.9,.833,0.2,0.8,1.0,2.3,0.6,0.0,0.9,1.3,3.3
Ray Kuka,1948,1949,,6-3,200,"February 17, 1922",Notre Dame,Career,,,BAA,52,,,1.9,5.9,.320,,,,,,,,1.1,1.8,.591,,,,0.7,,,,2.6,4.9
Toni Kukoč*,1994,2006,,6-10,192,"September 18, 1968",,Career,,,NBA,846,259,26.3,4.3,9.6,.447,0.9,2.6,.335,3.4,7.0,.488,.492,2.1,2.9,.729,1.2,3.0,4.2,3.7,1.0,0.3,1.8,1.7,11.6
Kevin Kunnert,1974,1982,,7-0,230,"November 11, 1951",Iowa,Career,,,NBA,555,0,21.8,3.6,7.7,.476,0.0,0.0,,3.6,7.7,.476,.476,1.0,1.5,.682,2.5,4.8,7.3,1.4,0.5,1.1,1.5,3.5,8.3
Terry Kunze,1968,1968,,6-4,210,"March 11, 1943",Minnesota,Career,,,ABA,46,,14.4,1.8,5.3,.339,0.1,0.2,.455,1.7,5.1,.333,.349,1.3,2.2,.578,,,1.6,1.0,,,1.3,1.7,5.0
Mitch Kupchak,1977,1986,,6-9,230,"May 24, 1954",UNC,Career,,,NBA,510,32,19.4,3.9,7.5,.523,0.0,0.0,.000,3.9,7.5,.523,.523,2.3,3.3,.704,1.9,3.5,5.4,0.7,0.3,0.3,1.6,2.2,10.2
C.J. Kupec,1976,1978,,6-6,220,"January 26, 1953",Michigan,Career,,,NBA,147,,10.8,1.7,3.9,.427,,,,,,,,0.8,1.0,.772,0.7,1.4,2.1,0.7,0.2,0.0,0.5,1.2,4.1
Rodions Kurucs,2019,2021,,6-9,228,"February 5, 1998",,Career,,,NBA,131,55,16.1,2.2,5.0,.444,0.7,2.3,.329,1.5,2.8,.537,.517,0.8,1.0,.739,0.7,2.4,3.1,0.9,0.6,0.3,1.0,1.9,6.0
Rob Kurz,2009,2009,,6-9,232,"March 5, 1985",Notre Dame,Career,,,NBA,40,5,11.1,1.3,3.3,.389,0.4,1.0,.395,0.9,2.3,.387,.447,1.0,1.3,.800,0.8,1.2,2.0,0.5,0.4,0.5,0.4,2.0,3.9
Ibo Kutluay,2005,2005,,6-6,200,"July 1, 1974",,Career,,,NBA,5,0,2.4,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.0
Kyle Kuzma,2018,2021,,6-10,221,"July 24, 1995",Utah,Career,,,NBA,276,146,29.7,5.8,12.9,.448,1.8,5.5,.338,3.9,7.4,.529,.520,1.9,2.6,.727,1.1,4.5,5.6,1.9,0.6,0.5,1.7,2.1,15.2
Ognjen Kuzmić,2014,2015,,7-1,251,"May 16, 1990",,Career,,,NBA,37,0,4.4,0.4,0.7,.520,0.0,0.0,,0.4,0.7,.520,.520,0.2,0.4,.600,0.5,0.6,1.0,0.2,0.1,0.1,0.4,0.8,0.9
Mindaugas Kuzminskas,2017,2018,,6-9,215,"October 19, 1989",,Career,,,NBA,69,5,14.8,2.3,5.4,.426,0.8,2.4,.321,1.5,2.9,.512,.499,0.8,1.0,.809,0.7,1.1,1.8,1.0,0.4,0.2,0.7,1.1,6.2
