player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Matt Maloney,1997,2003,,6-3,192,"December 6, 1971","Vanderbilt, Penn",Career,,,NBA,295,206,25.3,2.7,6.5,.408,1.4,3.6,.372,1.3,2.9,.453,.512,0.7,0.9,.797,0.2,1.5,1.7,2.9,0.8,0.0,1.3,1.3,7.4
Steve Malovic,1980,1980,,6-10,230,"July 21, 1956","USC, San Diego State",Career,,,NBA,39,,11.4,0.8,1.7,.463,0.0,0.0,,0.8,1.7,.463,.463,0.5,0.7,.667,0.9,1.3,2.2,0.7,0.2,0.2,0.6,1.3,2.1
Mike Maloy,1971,1973,,6-7,215,"May 10, 1949",Davidson,Career,,,ABA,71,,12.1,2.4,5.6,.424,0.0,0.0,.000,2.4,5.6,.425,.424,1.5,2.1,.702,1.4,2.4,3.8,0.7,,,1.1,2.2,6.2
Ted Manakas,1974,1974,,6-2,180,"February 22, 1951",Princeton,Career,,,NBA,5,,9.0,0.8,2.0,.400,,,,,,,,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.2,0.0,,0.8,2.4
John Mandic,1949,1950,,6-4,205,"October 3, 1919",Oregon State,Career,,,TOT,81,,,1.5,4.7,.316,,,,,,,,1.2,1.8,.660,,,,1.1,,,,2.5,4.1
Karim Mané,2021,2021,,6-3,190,"May 16, 2000",Vanier College,Career,,,NBA,10,0,8.8,0.3,1.3,.231,0.1,0.2,.500,0.2,1.1,.182,.269,0.4,0.5,.800,0.1,1.3,1.4,0.4,0.0,0.2,0.3,1.0,1.1
Frank Mangiapane,1947,1947,,5-10,195,"August 5, 1925",NYU,Career,,,BAA,6,,,0.3,2.2,.154,,,,,,,,0.2,0.5,.333,,,,0.0,,,,1.0,0.8
Terance Mann,2020,2021,,6-5,215,"October 18, 1996",Florida State,Career,,,NBA,108,16,15.0,2.0,4.0,.501,0.4,1.0,.405,1.6,2.9,.535,.554,0.9,1.1,.793,0.6,2.1,2.8,1.5,0.4,0.2,0.5,1.6,5.3
Danny Manning,1989,2003,,6-10,230,"May 17, 1966",Kansas,Career,,,NBA,883,398,27.4,5.7,11.1,.511,0.0,0.2,.206,5.6,10.9,.517,.513,2.6,3.5,.729,1.7,3.5,5.2,2.3,1.1,0.9,2.1,3.3,14.0
Ed Manning,1968,1976,,6-7,210,"January 2, 1944",Jackson State University,Career,,,TOT,604,,16.9,2.5,5.6,.448,0.0,0.0,.125,2.5,5.6,.448,.448,0.8,1.1,.764,1.3,3.2,4.5,0.8,0.8,0.2,1.0,2.4,5.9
