Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Metta World Peace,43.583333333333336,4.0,13.0,0.308,2.0,7.0,0.286,1.0,2.0,0.5,0.0,10.0,10.0,5.0,2.0,0.0,2.0,3.0,11.0,-2.0,Starter,0.396,0.385,0.538,0.154,0.0,22.3,12.5,28.6,2.8,0.0,12.6,20.7,79,80,2.5,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,41.1,8.0,19.0,0.421,0.0,0.0,,4.0,4.0,1.0,0.0,10.0,10.0,1.0,0.0,3.0,3.0,1.0,20.0,-2.0,Starter,0.482,0.421,0.0,0.211,0.0,23.4,13.2,8.0,0.0,4.8,12.6,32.5,83,82,3.8,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Harrington,28.533333333333335,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,4.0,-3.0,Starter,0.333,0.333,0.0,0.0,0.0,13.2,7.4,0.0,2.1,0.0,14.3,13.5,55,87,-7.4,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Miller,27.4,2.0,8.0,0.25,2.0,7.0,0.286,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,Starter,0.355,0.375,0.875,0.125,0.0,10.3,5.8,16.7,4.3,2.3,10.6,18.9,69,83,3.7,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Tinsley,3.533333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Starter,0.0,0.0,0.0,0.0,0.0,32.0,18.0,66.7,0.0,0.0,0.0,18.7,43,80,-12.0,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Johnson,36.766666666666666,3.0,9.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,3.0,0.0,3.0,7.0,1.0,0.0,0.0,1.0,9.0,4.0,Reserve,0.455,0.389,0.333,0.222,10.0,0.0,4.4,45.2,1.6,0.0,0.0,15.0,121,96,8.7,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Croshere,26.066666666666666,4.0,6.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,3.0,4.0,7.0,0.0,0.0,0.0,1.0,2.0,12.0,-4.0,Reserve,0.773,0.75,0.333,0.667,14.2,14.8,14.5,0.0,0.0,0.0,11.4,18.9,136,91,7.8,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Jones,13.716666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,Reserve,1.0,1.0,0.0,0.0,0.0,13.7,7.7,16.7,0.0,0.0,0.0,4.0,206,91,-2.4,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bender,10.35,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,-8.0,Reserve,0.174,0.0,1.0,1.0,0.0,8.7,4.9,0.0,0.0,17.9,41.0,24.9,21,82,-9.7,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Anderson,6.583333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,-7.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,75.0,37.4,0,79,-29.7,200406010DET,2004-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
