Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Marc Gasol,21.366666666666667,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,2.0,3.0,6.0,6.0,7.0,Starter,0.615,0.5,0.5,0.5,0.0,23.6,10.6,7.1,2.3,11.8,38.1,16.0,76.0,96.0,-5.3,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,26.633333333333333,7.0,12.0,0.583,3.0,5.0,0.6,0.0,0.0,,1.0,8.0,9.0,2.0,0.0,2.0,2.0,0.0,17.0,-10.0,Reserve,0.708,0.708,0.417,0.0,3.8,37.9,19.1,15.4,0.0,9.5,14.3,22.9,113.0,101.0,11.3,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Powell,13.0,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-12.0,Reserve,0.34,0.2,0.4,0.4,0.0,0.0,0.0,11.4,0.0,0.0,0.0,19.7,80.0,113.0,-7.8,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Boucher,8.933333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,Reserve,0.0,0.0,1.0,0.0,0.0,28.3,12.6,0.0,0.0,0.0,0.0,4.9,0.0,109.0,-9.4,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terence Davis,5.516666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,-1.0,Reserve,0.0,0.0,0.5,0.0,0.0,22.9,10.2,24.2,0.0,0.0,0.0,15.8,27.0,110.0,-21.4,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,42.88333333333333,9.0,22.0,0.409,2.0,8.0,0.25,2.0,2.0,1.0,1.0,8.0,9.0,1.0,0.0,1.0,9.0,3.0,22.0,3.0,Starter,0.481,0.455,0.364,0.091,2.3,19.5,10.7,5.6,0.0,2.2,28.2,36.6,69.0,93.0,-7.0,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,41.666666666666664,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,0.0,1.0,2.0,5.0,6.0,Starter,0.417,0.417,0.667,0.0,0.0,10.0,4.9,4.2,2.6,0.0,14.3,8.3,76.0,92.0,-1.5,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,39.96666666666667,2.0,13.0,0.154,1.0,6.0,0.167,3.0,4.0,0.75,1.0,3.0,4.0,7.0,3.0,0.0,1.0,1.0,8.0,-5.0,Starter,0.271,0.192,0.462,0.308,2.5,7.8,5.1,30.5,4.1,0.0,6.3,19.4,77.0,90.0,1.9,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,38.7,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,,1.0,7.0,8.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,Starter,0.35,0.35,0.5,0.0,2.6,18.9,10.6,23.6,0.0,0.0,0.0,12.7,96.0,95.0,-1.1,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,38.55,8.0,13.0,0.615,0.0,0.0,,3.0,4.0,0.75,7.0,11.0,18.0,0.0,0.0,2.0,1.0,4.0,19.0,6.0,Starter,0.644,0.615,0.0,0.308,18.2,29.8,23.8,0.0,0.0,4.8,6.3,20.1,132.0,88.0,7.4,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,24.783333333333335,4.0,9.0,0.444,1.0,5.0,0.2,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,10.0,-3.0,Reserve,0.53,0.5,0.556,0.111,0.0,12.6,6.2,8.7,2.2,0.0,0.0,18.7,111.0,92.0,5.2,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Morgan,6.783333333333333,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-9.0,Reserve,0.133,0.0,1.0,2.0,0.0,15.4,7.5,0.0,0.0,0.0,0.0,27.3,30.0,96.0,-19.7,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Niang,6.666666666666667,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,-8.0,Reserve,0.75,0.75,1.0,0.0,0.0,15.7,7.7,46.2,0.0,0.0,0.0,29.5,150.0,96.0,30.4,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,41.35,7.0,21.0,0.333,1.0,6.0,0.167,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,17.0,-4.0,Starter,0.388,0.357,0.286,0.095,0.0,4.8,2.5,20.3,1.3,0.0,8.4,28.1,78.0,96.0,-3.3,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokić,38.916666666666664,12.0,23.0,0.522,2.0,5.0,0.4,4.0,4.0,1.0,3.0,11.0,14.0,4.0,0.0,0.0,2.0,5.0,30.0,2.0,Starter,0.606,0.565,0.217,0.174,8.0,28.3,18.4,30.5,0.0,0.0,7.5,33.4,116.0,89.0,13.0,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,35.333333333333336,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,Starter,0.3,0.3,0.6,0.0,0.0,14.2,7.2,4.6,0.0,0.0,28.6,9.6,47.0,95.0,-9.0,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Morris,24.816666666666666,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,5.0,3.0,0.0,0.0,1.0,7.0,4.0,Starter,0.438,0.438,0.5,0.0,0.0,12.1,6.2,38.4,6.6,0.0,0.0,15.7,107.0,81.0,10.4,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,14.366666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,Starter,1.0,1.0,0.0,0.0,0.0,7.0,3.6,24.2,0.0,0.0,50.0,6.8,108.0,97.0,-4.2,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrey Craig,33.63333333333333,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,,0.0,7.0,7.0,2.0,0.0,1.0,0.0,2.0,7.0,2.0,Reserve,0.389,0.389,0.556,0.0,0.0,20.8,10.6,10.7,0.0,3.2,0.0,13.0,85.0,91.0,-0.8,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Harris,26.15,1.0,9.0,0.111,1.0,5.0,0.2,1.0,2.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,4.0,-6.0,Reserve,0.202,0.167,0.556,0.222,8.0,0.0,3.9,6.3,2.1,8.2,0.0,18.4,59.0,90.0,-4.0,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Porter,17.083333333333332,3.0,7.0,0.429,1.0,3.0,0.333,3.0,5.0,0.6,3.0,6.0,9.0,2.0,2.0,0.0,3.0,1.0,10.0,8.0,Reserve,0.543,0.5,0.429,0.714,18.3,35.1,26.9,24.9,6.4,0.0,24.6,34.7,94.0,73.0,11.2,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,8.35,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,Reserve,,,,,0.0,35.9,18.3,0.0,0.0,12.8,,0.0,0.0,79.0,-3.1,202009010DEN,2020-09-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,36.21666666666667,3.0,8.0,0.375,0.0,2.0,0.0,7.0,8.0,0.875,1.0,2.0,3.0,6.0,3.0,0.0,2.0,2.0,13.0,-2.0,Starter,0.564,0.375,0.25,1.0,3.3,5.5,4.5,24.1,4.1,0.0,14.8,17.1,123.0,119.0,2.0,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,35.65,5.0,13.0,0.385,4.0,12.0,0.333,2.0,4.0,0.5,1.0,5.0,6.0,2.0,2.0,0.0,0.0,3.0,16.0,-4.0,Starter,0.542,0.538,0.923,0.308,3.4,14.0,9.2,8.9,2.8,0.0,0.0,18.9,117.0,118.0,2.1,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragić,33.55,8.0,18.0,0.444,4.0,8.0,0.5,3.0,4.0,0.75,1.0,4.0,5.0,4.0,2.0,0.0,2.0,4.0,23.0,-2.0,Starter,0.582,0.556,0.444,0.222,3.6,11.9,8.1,22.4,3.0,0.0,9.2,29.6,114.0,118.0,3.2,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,32.85,4.0,8.0,0.5,0.0,0.0,,7.0,8.0,0.875,3.0,6.0,9.0,3.0,1.0,0.0,2.0,6.0,15.0,0.0,Starter,0.651,0.5,0.0,1.0,11.0,18.3,14.9,14.1,1.5,0.0,14.8,18.8,132.0,119.0,-0.6,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,26.616666666666667,4.0,9.0,0.444,3.0,8.0,0.375,2.0,3.0,0.667,0.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,13.0,1.0,Starter,0.63,0.611,0.889,0.333,0.0,11.3,6.1,0.0,3.8,0.0,16.2,21.1,99.0,117.0,-0.5,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Herro,31.8,6.0,13.0,0.462,3.0,8.0,0.375,2.0,2.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,17.0,5.0,Reserve,0.612,0.577,0.615,0.154,0.0,15.7,8.6,21.6,0.0,0.0,0.0,19.9,134.0,123.0,3.5,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,15.866666666666667,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,11.0,7.0,Reserve,0.917,0.917,0.667,0.0,7.6,25.2,17.2,0.0,0.0,5.0,14.3,20.2,138.0,117.0,11.6,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,11.15,1.0,2.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,6.0,Reserve,0.602,0.5,0.5,1.5,0.0,17.9,9.8,26.3,4.5,0.0,0.0,13.6,147.0,112.0,6.7,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Nunn,9.266666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,Reserve,0.5,0.5,0.5,0.0,0.0,0.0,0.0,16.3,0.0,0.0,33.3,14.8,79.0,130.0,-11.1,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Jones,7.033333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,-3.0,Reserve,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,7.1,34.1,0.0,13.0,98.0,98.0,14.3,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,35.65,10.0,18.0,0.556,0.0,1.0,0.0,9.0,13.0,0.692,4.0,10.0,14.0,3.0,0.0,1.0,2.0,4.0,29.0,-7.0,Starter,0.611,0.556,0.056,0.722,11.2,33.7,21.4,17.2,0.0,3.7,7.8,29.8,130.0,119.0,9.5,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,33.166666666666664,6.0,15.0,0.4,0.0,3.0,0.0,11.0,12.0,0.917,0.0,6.0,6.0,8.0,0.0,0.0,3.0,5.0,23.0,18.0,Starter,0.567,0.4,0.2,0.8,0.0,21.7,9.9,40.9,0.0,0.0,12.9,29.0,122.0,124.0,4.7,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,32.35,5.0,8.0,0.625,3.0,5.0,0.6,3.0,4.0,0.75,2.0,5.0,7.0,0.0,1.0,1.0,1.0,4.0,16.0,12.0,Starter,0.82,0.813,0.625,0.5,6.2,18.5,11.8,0.0,1.5,4.1,9.3,13.7,157.0,118.0,8.5,202009020MIL,2020-09-02 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
