Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Rajon Rondo,42.68333333333333,9.0,16.0,0.563,0.0,2.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,10.0,1.0,0.0,2.0,2.0,21.0,5.0,Starter,0.577,0.563,0.125,0.313,5.9,11.8,8.9,40.3,1.3,0.0,9.9,22.8,129,106,8.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,40.516666666666666,7.0,21.0,0.333,2.0,6.0,0.333,7.0,7.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,23.0,10.0,Starter,0.478,0.381,0.286,0.333,6.2,6.2,6.2,16.0,1.4,3.9,11.1,32.3,105,103,4.0,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Allen,37.916666666666664,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,Starter,0.625,0.625,0.625,0.0,0.0,16.7,8.3,0.0,0.0,0.0,0.0,10.2,135,107,-0.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,33.81666666666667,10.0,16.0,0.625,0.0,0.0,,4.0,6.0,0.667,3.0,8.0,11.0,0.0,0.0,1.0,4.0,4.0,24.0,27.0,Starter,0.644,0.625,0.0,0.375,11.2,29.9,20.5,0.0,0.0,2.4,17.7,32.3,112,103,2.6,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bass,16.766666666666666,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,5.0,4.0,-8.0,Starter,0.515,0.333,0.0,0.667,7.5,22.6,15.1,8.1,0.0,0.0,20.5,14.0,106,105,-4.9,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyon Dooling,19.783333333333335,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,7.0,10.0,Reserve,0.875,0.875,0.5,0.0,6.4,19.2,12.8,0.0,0.0,4.0,33.3,14.6,111,103,4.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickaël Piétrus,19.516666666666666,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,-6.0,Reserve,0.347,0.0,0.5,1.0,6.5,19.4,12.9,0.0,2.8,0.0,0.0,7.1,106,102,1.2,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Daniels,17.316666666666666,4.0,6.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,9.0,16.0,Reserve,0.654,0.667,0.167,0.333,7.3,29.2,18.2,10.3,3.2,0.0,0.0,19.2,145,100,12.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hollins,6.116666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,-4.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Stiemsma,3.716666666666667,0.0,0.0,,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,Reserve,0.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,122,108,-5.3,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Pavlović,0.9333333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Reserve,,,,,100.0,0.0,67.7,0.0,0.0,0.0,,0.0,211,111,21.8,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,0.9166666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-2.6,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Parker,38.55,5.0,15.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,12.0,0.0,Starter,0.378,0.333,0.067,0.133,0.0,8.0,3.5,14.3,0.0,0.0,5.9,21.2,87,125,-8.5,201206020OKC,2012-06-02 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
