Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Kobe Bryant,41.86666666666667,9,26,0.346,0,3,0.0,6,6,1.0,0,3,3,6,1,1,4,3,24,-13,Starter,0.419,0.346,0.115,0.231,0.0,9.6,4.4,31.7,1.3,2.0,12.3,38.5,81,112,-0.5,200806050BOS,2008-06-05 21:00:00
Pau Gasol,41.46666666666667,6,11,0.545,0,0,,3,4,0.75,2,6,8,4,1,1,1,3,15,-5,Starter,0.588,0.545,0.0,0.364,5.4,19.3,11.7,18.5,1.3,2.0,7.3,16.4,120,109,5.8,200806050BOS,2008-06-05 21:00:00
Derek Fisher,40.81666666666667,4,9,0.444,1,3,0.333,6,8,0.75,0,4,4,6,3,0,2,2,15,-7,Starter,0.599,0.5,0.333,0.889,0.0,13.1,6.0,25.8,4.0,0.0,13.8,17.5,114,107,7.4,200806050BOS,2008-06-05 21:00:00
Lamar Odom,39.016666666666666,6,11,0.545,0,1,0.0,2,5,0.4,2,4,6,1,1,0,0,5,14,-6,Starter,0.53,0.545,0.091,0.455,5.7,13.7,9.3,5.0,1.4,0.0,0.0,16.7,112,112,0.4,200806050BOS,2008-06-05 21:00:00
Vladimir Radmanović,17.05,2,5,0.4,1,4,0.25,0,0,,2,3,5,2,2,0,0,5,5,1,Starter,0.5,0.5,0.8,0.0,13.1,23.5,17.8,21.4,6.3,0.0,0.0,14.5,121,98,9.1,200806050BOS,2008-06-05 21:00:00
Sasha Vujačić,26.516666666666666,2,7,0.286,1,3,0.333,3,3,1.0,0,2,2,1,0,0,0,4,8,-9,Reserve,0.481,0.357,0.429,0.429,0.0,10.1,4.6,6.4,0.0,0.0,0.0,15.5,104,116,-3.6,200806050BOS,2008-06-05 21:00:00
Luke Walton,13.7,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,3,0,-5,Reserve,0.0,0.0,0.0,0.0,8.1,9.7,8.9,10.9,0.0,0.0,0.0,7.2,53,116,-10.2,200806050BOS,2008-06-05 21:00:00
Ronny Turiaf,12.383333333333333,2,5,0.4,0,0,,1,2,0.5,0,2,2,0,0,0,0,3,5,-3,Reserve,0.425,0.4,0.0,0.4,0.0,21.5,9.8,0.0,0.0,0.0,0.0,23.4,85,112,-7.7,200806050BOS,2008-06-05 21:00:00
Jordan Farmar,7.183333333333334,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-3,Reserve,1.0,1.0,0.0,0.0,0.0,18.6,8.5,0.0,0.0,0.0,50.0,13.7,72,114,-8.2,200806050BOS,2008-06-05 21:00:00
Ray Allen,43.95,5,13,0.385,2,6,0.333,7,8,0.875,1,7,8,5,1,1,4,2,19,11,Starter,0.575,0.462,0.462,0.615,3.0,17.8,11.1,20.6,1.2,1.7,19.5,21.5,107,98,5.7,200806050BOS,2008-06-05 21:00:00
Kevin Garnett,40.65,9,22,0.409,0,0,,6,6,1.0,4,9,13,3,1,0,1,3,24,8,Starter,0.487,0.409,0.0,0.273,13.1,24.7,19.4,16.6,1.3,0.0,3.9,29.0,113,98,6.2,200806050BOS,2008-06-05 21:00:00
Rajon Rondo,35.03333333333333,4,10,0.4,0,2,0.0,7,10,0.7,1,4,5,7,0,0,2,1,15,9,Starter,0.521,0.4,0.2,1.0,3.8,12.7,8.7,36.2,0.0,0.0,12.2,21.5,114,104,4.4,200806050BOS,2008-06-05 21:00:00
Paul Pierce,31.066666666666666,7,10,0.7,3,4,0.75,5,7,0.714,0,4,4,2,1,0,3,4,22,10,Starter,0.841,0.85,0.4,0.7,0.0,14.4,7.8,14.6,1.7,0.0,18.7,23.8,131,99,12.4,200806050BOS,2008-06-05 21:00:00
Kendrick Perkins,23.016666666666666,0,1,0.0,0,0,,1,2,0.5,1,3,4,0,0,1,1,4,1,-4,Starter,0.266,0.0,0.0,2.0,5.8,14.5,10.6,0.0,0.0,3.3,34.7,5.8,57,100,-6.0,200806050BOS,2008-06-05 21:00:00
James Posey,22.8,1,6,0.167,1,5,0.2,0,0,,0,2,2,0,2,0,2,3,3,3,Reserve,0.25,0.25,0.833,0.0,0.0,9.8,5.3,0.0,4.7,0.0,25.0,16.1,40,94,-7.2,200806050BOS,2008-06-05 21:00:00
P.J. Brown,21.2,1,4,0.25,0,0,,0,0,,1,5,6,2,0,1,0,3,2,10,Reserve,0.25,0.25,0.0,0.0,6.3,26.3,17.2,15.2,0.0,3.6,0.0,8.7,90,97,2.1,200806050BOS,2008-06-05 21:00:00
Sam Cassell,12.966666666666667,4,9,0.444,0,2,0.0,0,0,,0,0,0,1,1,0,0,1,8,1,Reserve,0.444,0.444,0.222,0.0,0.0,0.0,0.0,21.5,4.2,0.0,0.0,31.9,96,98,3.5,200806050BOS,2008-06-05 21:00:00
Leon Powe,9.316666666666666,1,1,1.0,0,0,,2,2,1.0,2,2,4,0,0,0,0,1,4,2,Reserve,1.064,1.0,0.0,2.0,28.6,24.0,26.1,0.0,0.0,0.0,0.0,9.3,224,101,10.5,200806050BOS,2008-06-05 21:00:00
Kobe Bryant,40.46666666666667,11,23,0.478,1,3,0.333,7,7,1.0,1,3,4,8,3,0,4,3,30,8,Starter,0.575,0.5,0.13,0.304,3.1,10.2,6.5,33.9,4.1,0.0,13.3,35.5,119,119,9.2,200806080BOS,2008-06-08 21:00:00
Pau Gasol,40.416666666666664,8,12,0.667,0,0,,1,1,1.0,3,7,10,4,1,0,1,3,17,4,Starter,0.683,0.667,0.0,0.083,9.4,23.8,16.3,15.1,1.4,0.0,7.4,15.9,145,122,6.7,200806080BOS,2008-06-08 21:00:00
Lamar Odom,32.266666666666666,5,11,0.455,0,0,,0,0,,3,5,8,2,0,0,2,5,10,-13,Starter,0.455,0.455,0.0,0.0,11.7,21.3,16.3,8.9,0.0,0.0,15.4,19.3,98,125,-6.3,200806080BOS,2008-06-08 21:00:00
Vladimir Radmanović,30.5,5,12,0.417,3,7,0.429,0,0,,3,7,10,2,1,0,1,3,13,9,Starter,0.542,0.542,0.583,0.0,12.4,31.5,21.6,9.5,1.8,0.0,7.7,20.4,121,119,4.5,200806080BOS,2008-06-08 21:00:00
Derek Fisher,29.9,3,8,0.375,1,4,0.25,2,2,1.0,0,0,0,3,3,0,0,5,9,10,Starter,0.507,0.438,0.5,0.25,0.0,0.0,0.0,13.3,5.5,0.0,0.0,14.2,126,118,3.1,200806080BOS,2008-06-08 21:00:00
Sasha Vujačić,19.533333333333335,3,6,0.5,2,3,0.667,0,0,,0,0,0,1,0,0,2,3,8,2,Reserve,0.667,0.667,0.5,0.0,0.0,0.0,0.0,7.3,0.0,0.0,25.0,19.6,101,130,-4.1,200806080BOS,2008-06-08 21:00:00
Jordan Farmar,18.1,3,6,0.5,3,4,0.75,0,0,,1,0,1,0,0,1,0,1,9,-16,Reserve,0.75,0.75,0.667,0.0,7.0,0.0,3.6,0.0,0.0,4.9,0.0,15.8,158,127,10.3,200806080BOS,2008-06-08 21:00:00
Luke Walton,12.8,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-16,Reserve,0.5,0.5,0.0,0.0,0.0,10.7,5.1,0.0,0.0,0.0,50.0,14.9,46,128,-13.9,200806080BOS,2008-06-08 21:00:00
Ronny Turiaf,8.7,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,4,-12,Reserve,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,200,129,1.9,200806080BOS,2008-06-08 21:00:00
Trevor Ariza,7.316666666666666,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-6,Reserve,0.0,0.0,0.0,0.0,0.0,37.5,18.0,0.0,0.0,0.0,50.0,13.1,0,121,-21.6,200806080BOS,2008-06-08 21:00:00
Rajon Rondo,41.833333333333336,1,4,0.25,0,0,,2,6,0.333,1,5,6,16,2,1,2,3,4,-5,Starter,0.301,0.25,0.0,1.5,3.3,15.1,9.4,52.7,2.6,1.9,23.1,9.9,121,114,6.5,200806080BOS,2008-06-08 21:00:00
Paul Pierce,41.46666666666667,9,16,0.563,4,4,1.0,6,7,0.857,0,4,4,8,1,1,5,4,28,7,Starter,0.734,0.688,0.25,0.438,0.0,12.2,6.3,36.2,1.3,1.9,20.8,28.0,122,117,8.8,200806080BOS,2008-06-08 21:00:00
