Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
LeBron James,40.03333333333333,9,20,0.45,2,6,0.333,8,12,0.667,3,12,15,8,0,2,8,4,28,-22,Starter,0.554,0.5,0.3,0.6,7.1,24.8,16.5,49.9,0.0,3.3,24.0,34.1,99,108,8.3,201706010GSW,2017-06-01 21:00:00
Kyrie Irving,34.88333333333333,10,22,0.455,3,4,0.75,1,1,1.0,3,0,3,2,0,1,4,3,24,-17,Starter,0.535,0.523,0.182,0.045,8.1,0.0,3.8,16.9,0.0,1.9,15.1,31.1,99,119,4.5,201706010GSW,2017-06-01 21:00:00
Kevin Love,34.21666666666667,4,13,0.308,3,6,0.5,4,4,1.0,5,16,21,1,0,3,1,4,15,-11,Starter,0.508,0.423,0.462,0.308,13.8,38.7,27.0,5.8,0.0,5.8,6.3,18.9,118,101,8.0,201706010GSW,2017-06-01 21:00:00
J.R. Smith,28.2,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,0,0,2,1,3,-12,Starter,0.375,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,8.7,51,121,-7.4,201706010GSW,2017-06-01 21:00:00
Tristan Thompson,22.416666666666668,0,3,0.0,0,0,,0,0,,3,1,4,2,0,0,1,2,0,-13,Starter,0.0,0.0,0.0,0.0,12.6,3.7,7.9,14.3,0.0,0.0,25.0,7.3,56,119,-5.8,201706010GSW,2017-06-01 21:00:00
Kyle Korver,19.716666666666665,0,3,0.0,0,3,0.0,0,0,,0,4,4,1,0,0,0,0,0,-8,Reserve,0.0,0.0,1.0,0.0,0.0,16.8,8.9,8.1,0.0,0.0,0.0,6.2,21,114,-6.7,201706010GSW,2017-06-01 21:00:00
Deron Williams,18.5,0,4,0.0,0,2,0.0,0,0,,0,3,3,1,0,0,2,3,0,-8,Reserve,0.0,0.0,0.5,0.0,0.0,13.4,7.1,8.6,0.0,0.0,33.3,13.3,10,115,-18.3,201706010GSW,2017-06-01 21:00:00
Iman Shumpert,16.766666666666666,2,6,0.333,1,3,0.333,0,0,,0,5,5,0,0,0,0,1,5,-7,Reserve,0.417,0.417,0.5,0.0,0.0,24.7,13.1,0.0,0.0,0.0,0.0,14.7,93,111,-1.4,201706010GSW,2017-06-01 21:00:00
Richard Jefferson,14.8,3,6,0.5,0,2,0.0,3,4,0.75,1,3,4,0,0,0,2,5,9,-7,Reserve,0.58,0.5,0.333,0.667,6.4,16.8,11.9,0.0,0.0,0.0,20.5,27.1,97,114,-5.4,201706010GSW,2017-06-01 21:00:00
Dahntay Jones,4.1,1,2,0.5,1,2,0.5,4,4,1.0,0,0,0,0,0,0,0,0,7,-1,Reserve,0.931,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,201,121,41.9,201706010GSW,2017-06-01 21:00:00
Derrick Williams,4.1,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,121,-19.9,201706010GSW,2017-06-01 21:00:00
