player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Paul Gordon,1950,1950,,6-3,185,"April 8, 1927",Notre Dame,Career,,,NBA,4,,,0.0,1.5,.000,0.8,1.3,.600,,0.8,0.8,0.8,,,,,,,,,,,,
Marcin Gortat,2008,2019,,6-11,240,"February 17, 1984",,Career,,,NBA,806,587,25.7,4.2,7.7,.551,1.4,2.1,.680,7.9,1.1,2.2,9.9,0.0,0.0,.150,4.2,7.6,.553,.552,2.2,5.8,0.5,1.1,1.2
Leo Gottlieb,1947,1948,,5-11,180,"November 28, 1920",,Career,,,BAA,84,,,2.5,8.6,.288,0.6,0.9,.645,,0.4,1.3,5.5,,,,,,,,,,,,
Andrew Goudelock,2012,2016,,6-3,200,"December 7, 1988",College of Charleston,Career,,,NBA,49,0,9.7,1.6,4.0,.393,0.3,0.3,.875,0.7,0.5,0.7,4.0,0.6,1.7,.345,1.0,2.3,.429,.467,0.1,0.6,0.2,0.0,0.6
Gerald Govan,1968,1976,,6-10,220,"January 2, 1942",Saint Mary of the Plains College,Career,,,ABA,681,,33.7,3.1,7.8,.405,1.4,2.1,.678,10.5,3.2,3.0,7.7,0.0,0.0,.208,3.1,7.7,.406,.406,2.6,8.2,0.7,0.5,2.4
Bato Govedarica,1954,1954,,5-11,185,"April 17, 1928",DePaul,Career,,,NBA,23,,11.2,1.1,3.4,.316,1.1,1.6,.676,0.8,1.0,1.9,3.3,,,,,,,,,,,,
Joe Graboski,1949,1962,,6-7,195,"January 15, 1930",,Career,,,TOT,845,,30.5,4.1,11.6,.352,2.9,4.1,.700,8.1,1.8,3.1,11.0,,,,,,,,,,,,
Ricky Grace,1994,1994,,6-1,180,"August 20, 1967","Midland College, Oklahoma",Career,,,NBA,3,0,2.7,0.7,1.0,.667,0.0,0.7,.000,0.3,0.3,1.0,1.3,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.3,0.0,0.0,0.0
Calvin Graham,1968,1968,,6-2,195,"June 7, 1944",Gannon University,Career,,,ABA,8,,6.5,0.5,1.8,.286,0.6,1.0,.625,1.3,0.0,1.5,1.6,0.0,0.0,,0.5,1.8,.286,.286,,,,,0.1
Devonte' Graham,2019,2021,,6-1,195,"February 22, 1995",Kansas,Career,,,NBA,164,100,27.7,4.2,11.3,.376,2.2,2.7,.822,2.6,5.4,1.5,13.3,2.6,7.2,.364,1.6,4.1,.395,.492,0.5,2.1,0.8,0.1,1.8
Greg Graham,1994,1998,,6-4,174,"November 26, 1970",Indiana,Career,,,NBA,207,18,12.2,1.6,3.9,.407,1.1,1.4,.775,1.1,1.0,1.0,4.5,0.2,0.8,.290,1.4,3.1,.438,.437,0.3,0.8,0.6,0.1,0.9
Joey Graham,2006,2011,,6-7,225,"June 11, 1982","Central Florida, Oklahoma State",Career,,,NBA,377,84,16.2,2.3,4.7,.483,1.2,1.5,.815,2.8,0.5,2.1,5.9,0.1,0.5,.300,2.1,4.2,.503,.498,0.7,2.1,0.4,0.1,0.8
Mal Graham,1968,1969,,6-1,185,"February 23, 1945",NYU,Career,,,NBA,70,,12.7,1.9,4.7,.398,1.0,1.5,.657,1.7,1.1,2.1,4.7,,,,,,,,,,,,
Orlando Graham,1989,1989,,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery",Career,,,NBA,7,0,3.1,0.4,1.4,.300,0.3,0.6,.500,1.6,0.0,0.9,1.1,0.0,0.0,,0.4,1.4,.300,.300,1.1,0.4,0.0,0.0,0.3
Paul Graham,1992,1994,,6-6,200,"November 28, 1967",Ohio University,Career,,,NBA,179,20,18.7,3.3,7.3,.448,1.3,1.8,.739,2.4,2.0,2.2,8.4,0.6,1.6,.339,2.7,5.6,.480,.487,0.8,1.7,1.0,0.2,1.2
Stephen Graham,2006,2011,,6-6,215,"June 11, 1982","Central Florida, Oklahoma State",Career,,,NBA,239,43,12.2,1.6,3.5,.446,0.7,0.9,.766,1.8,0.5,1.5,4.0,0.2,0.7,.308,1.4,2.8,.481,.477,0.3,1.5,0.2,0.1,0.6
Treveon Graham,2017,2020,,6-5,219,"October 28, 1993",VCU,Career,,,NBA,180,44,16.0,1.5,3.9,.383,0.6,0.8,.691,2.2,0.8,1.7,4.2,0.7,2.0,.333,0.8,1.9,.437,.470,0.7,1.6,0.4,0.1,0.4
Jim Grandholm,1991,1991,,7-0,235,"October 4, 1960","Florida, South Florida",Career,,,NBA,26,0,6.5,1.2,2.2,.517,0.4,0.8,.476,1.9,0.3,1.3,3.0,0.3,0.7,.529,0.8,1.6,.512,.595,0.8,1.2,0.1,0.3,0.4
Ron Grandison,1989,1996,,6-6,215,"July 9, 1964","University of California, Irvine, New Orleans",Career,,,NBA,105,3,8.3,0.8,2.0,.404,0.8,1.1,.713,1.6,0.6,1.0,2.4,0.0,0.2,.167,0.8,1.8,.435,.413,0.7,0.9,0.3,0.1,0.5
Danny Granger,2006,2015,,6-9,222,"April 20, 1983","Bradley, New Mexico",Career,,,NBA,586,431,31.5,5.7,13.1,.434,3.7,4.4,.848,4.9,1.9,2.8,16.8,1.7,4.5,.380,4.0,8.6,.463,.500,1.2,3.8,1.0,0.8,1.9
Stewart Granger,1984,1987,,6-3,190,"October 27, 1961",Villanova,Career,,,NBA,80,14,12.5,1.5,3.7,.414,0.8,1.1,.742,1.0,2.2,1.6,4.0,0.1,0.2,.235,1.5,3.5,.425,.421,0.2,0.8,0.4,0.0,1.1
