Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Timofey Mozgov,32.016666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.5,0.5,0.0,0.0,0.0,13.6,8.4,4.9,1.6,10.7,40.0,14.9,61,96,-3.8,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,1.0,1.0,4.0,4.0,3.0,6.0,1.0
Iman Shumpert,31.983333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.521,0.75,1.0,1.0,0.0,8.2,5.1,0.0,5.0,0.0,41.0,7.3,53,97,-2.8,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,4.0,3.0,-4.0
J.R. Smith,31.783333333333335,,,,,,,,,,,,,,,,,,,,Reserve,0.556,0.556,0.556,0.0,0.0,11.0,6.8,5.2,0.0,5.4,0.0,13.5,116,105,2.9,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,2.0,0.0,1.0,10.0,0.0
James Jones,10.266666666666667,,,,,,,,,,,,,,,,,,,,Reserve,1.434,1.5,1.0,0.5,0.0,8.5,5.3,0.0,0.0,0.0,29.1,16.0,171,108,9.7,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,7.0,-5.0
Mike Miller,5.233333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,0.0,10.1,0.0,,0.0,0,91,7.9,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Stephen Curry,41.05,,,,,,,,,,,,,,,,,,,,Starter,0.615,0.588,0.412,0.118,0.0,4.3,2.5,30.7,1.3,0.0,18.3,26.7,107,99,3.9,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,8.0,17.0,0.471,4.0,7.0,0.571,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,4.0,1.0,22.0,18.0
Andre Iguodala,39.266666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.693,0.667,0.6,0.133,3.1,15.8,10.5,0.0,1.4,0.0,5.9,21.5,123,92,5.5,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,8.0,15.0,0.533,4.0,9.0,0.444,2.0,2.0,1.0,1.0,7.0,8.0,0.0,1.0,0.0,1.0,4.0,22.0,16.0
Klay Thompson,39.1,,,,,,,,,,,,,,,,,,,,Starter,0.5,0.5,0.556,0.0,0.0,4.5,2.6,7.9,0.0,2.0,0.0,11.5,106,101,-1.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,9.0,15.0
Harrison Barnes,33.06666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.651,0.556,0.556,0.444,11.2,13.4,12.5,0.0,0.0,4.8,0.0,16.3,141,94,6.8,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,4.0,9.0,0.444,2.0,5.0,0.4,4.0,4.0,1.0,3.0,5.0,8.0,0.0,0.0,2.0,0.0,2.0,14.0,9.0
Draymond Green,32.35,,,,,,,,,,,,,,,,,,,,Starter,0.604,0.591,0.273,0.636,0.0,19.2,11.2,32.9,3.3,2.4,0.0,21.8,135,84,14.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,6.0,11.0,0.545,1.0,3.0,0.333,4.0,7.0,0.571,0.0,7.0,7.0,6.0,2.0,1.0,0.0,5.0,17.0,16.0
Shaun Livingston,24.5,,,,,,,,,,,,,,,,,,,,Reserve,0.608,0.5,0.0,1.0,5.0,25.4,16.9,24.4,2.2,3.2,14.8,13.8,130,83,7.4,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,2.0,4.0,0.5,0.0,0.0,,3.0,4.0,0.75,1.0,7.0,8.0,4.0,1.0,1.0,1.0,3.0,7.0,25.0
David Lee,15.466666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.467,0.429,0.0,0.857,0.0,28.7,16.7,34.9,0.0,0.0,0.0,31.2,108,87,6.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,3.0,7.0,0.429,0.0,0.0,,3.0,6.0,0.5,0.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,9.0,4.0
Leandro Barbosa,6.95,,,,,,,,,,,,,,,,,,,,Reserve,0.333,0.333,0.333,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,21.6,83,104,-8.5,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
Andrew Bogut,2.7666666666666666,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,32.1,18.7,48.2,0.0,0.0,100.0,18.1,48,81,-21.0,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
Marreese Speights,2.1333333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.174,0.0,0.0,1.0,57.7,41.7,48.4,0.0,0.0,0.0,0.0,67.6,65,78,-41.8,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Justin Holiday,2.1333333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,-4.1,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Michael McAdoo,1.2,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,74.1,43.0,0.0,0.0,0.0,,0.0,0,61,4.1,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
LeBron James,40.916666666666664,,,,,,,,,,,,,,,,,,,,Starter,0.379,0.341,0.182,0.455,4.3,30.1,15.1,45.1,0.0,0.0,7.0,30.5,89,116,3.1,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,7.0,22.0,0.318,1.0,4.0,0.25,5.0,10.0,0.5,2.0,10.0,12.0,8.0,0.0,0.0,2.0,5.0,20.0,-15.0
Iman Shumpert,39.06666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.278,0.278,0.556,0.0,2.3,18.9,9.2,4.6,0.0,2.6,0.0,10.1,73,116,-4.1,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,1.0,0.0,2.0,5.0,-12.0
Tristan Thompson,38.416666666666664,,,,,,,,,,,,,,,,,,,,Starter,0.6,0.6,0.0,0.0,13.9,22.4,17.5,0.0,0.0,2.7,0.0,11.4,136,116,3.8,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,6.0,10.0,0.6,0.0,0.0,,0.0,0.0,,6.0,7.0,13.0,0.0,0.0,1.0,0.0,1.0,12.0,-13.0
Timofey Mozgov,33.483333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.658,0.563,0.0,0.75,15.9,14.7,15.4,8.9,1.6,0.0,12.4,31.8,125,115,12.7,,,,,,,,,,,,,,,,,,,,201506110CLE,2015-06-11 21:00:00,9.0,16.0,0.563,0.0,0.0,,10.0,12.0,0.833,6.0,4.0,10.0,1.0,1.0,0.0,3.0,3.0,28.0,-5.0
