player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Marv Winkler,1971,1972,,6-1,164,"February 18, 1948",Louisiana,Career,,,TOT,23,,7.3,0.8,2.8,.281,0.1,0.2,.500,0.7,2.6,.267,.297,0.4,0.7,.625,0.4,0.5,0.9,0.6,,,0.6,0.8,2.1
Justise Winslow,2016,2021,,6-6,222,"March 26, 1996",Duke,Career,,,NBA,267,106,27.5,3.5,8.5,.411,0.7,2.3,.324,2.7,6.2,.443,.455,1.1,1.7,.640,1.0,4.3,5.3,2.6,0.9,0.4,1.5,2.4,8.8
Rickie Winslow,1988,1988,,6-8,225,"July 26, 1964",Houston,Career,,,NBA,7,0,6.4,0.4,1.9,.231,0.0,0.1,.000,0.4,1.7,.250,.231,0.1,0.3,.500,0.4,0.6,1.0,0.3,0.1,0.0,0.6,1.3,1.0
Cassius Winston,2021,2021,,6-1,185,"February 28, 1998",Michigan State,Career,,,NBA,22,0,4.5,0.6,1.5,.424,0.4,0.8,.471,0.3,0.7,.375,.545,0.2,0.3,.833,0.0,0.4,0.4,0.5,0.1,0.0,0.2,0.4,1.9
Trevor Winter,1999,1999,,7-0,275,"January 7, 1974",Minnesota,Career,,,NBA,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0
Brian Winters,1975,1983,,6-4,185,"March 1, 1952",South Carolina,Career,,,NBA,650,25,30.7,6.9,14.5,.475,0.4,1.2,.363,6.7,14.1,.479,.481,2.2,2.6,.842,0.7,1.9,2.6,4.1,1.2,0.3,2.4,2.8,16.2
Voise Winters,1986,1986,,6-8,200,"October 12, 1962",Bradley,Career,,,NBA,4,0,4.3,0.8,3.3,.231,0.0,0.3,.000,0.8,3.0,.250,.231,0.0,0.0,,0.3,0.5,0.8,0.0,0.3,0.0,0.5,0.3,1.5
Skip Wise,1976,1976,,6-2,170,"July 25, 1955",Clemson,Career,,,ABA,2,,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,1.0,2.0,2.0
Willie Wise,1970,1978,,6-5,210,"March 3, 1947",Drake University,Career,,,TOT,552,,33.4,6.7,14.2,.475,0.0,0.2,.219,6.7,14.0,.479,.477,4.1,5.7,.724,2.6,5.7,8.3,2.9,1.2,0.3,2.6,3.2,17.6
James Wiseman,2021,2021,,7-0,240,"March 31, 2001",Memphis,Career,,,NBA,39,27,21.4,4.9,9.4,.519,0.3,1.0,.316,4.6,8.5,.542,.535,1.4,2.2,.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
Jeff Withey,2014,2018,,7-0,231,"March 7, 1990",Kansas,Career,,,NBA,206,15,10.1,1.2,2.3,.525,0.0,0.1,.143,1.2,2.2,.537,.527,0.8,1.1,.716,0.9,1.6,2.5,0.3,0.3,0.8,0.4,1.1,3.2
Luke Witte,1974,1976,,7-0,235,"October 19, 1950",Ohio State,Career,,,NBA,118,,9.3,1.3,3.1,.402,,,,,,,,0.6,0.9,.685,1.1,1.9,3.0,0.5,0.1,0.4,,1.2,3.2
Greg Wittman,1970,1971,,6-8,210,"May 10, 1947",Western Carolina University,Career,,,ABA,60,,8.7,1.4,3.8,.376,0.1,0.3,.222,1.4,3.5,.389,.384,0.6,1.1,.529,0.7,1.3,2.0,0.3,,,0.7,1.8,3.5
Randy Wittman,1984,1992,,6-6,210,"October 28, 1959",Indiana,Career,,,NBA,543,262,21.4,3.4,6.7,.501,0.0,0.1,.321,3.3,6.6,.504,.504,0.7,0.9,.753,0.3,1.1,1.4,2.2,0.5,0.1,0.8,1.0,7.4
Garry Witts,1982,1982,,6-7,190,"July 3, 1959",Holy Cross,Career,,,NBA,46,0,10.7,1.1,1.8,.583,0.0,0.0,.500,1.0,1.8,.585,.589,0.7,0.9,.825,0.6,0.7,1.3,0.8,0.4,0.1,0.8,1.6,2.9
Dave Wohl,1972,1978,,6-2,185,"November 2, 1949",Penn,Career,,,NBA,410,,19.9,2.5,5.8,.430,,,,,,,,1.3,1.7,.750,0.2,0.9,1.4,3.4,0.9,0.1,1.6,2.5,6.2
Joe Wolf,1988,1999,,6-11,230,"December 17, 1964",UNC,Career,,,NBA,592,127,16.3,1.8,4.3,.423,0.0,0.2,.164,1.8,4.1,.435,.427,0.6,0.7,.770,1.0,2.3,3.3,1.0,0.4,0.2,0.9,2.2,4.2
Rubén Wolkowyski,2001,2003,,6-10,270,"September 30, 1973",,Career,,,NBA,41,1,8.0,0.7,2.0,.325,0.0,0.1,.000,0.7,2.0,.338,.325,0.6,0.9,.684,0.3,0.9,1.1,0.1,0.1,0.4,0.3,1.0,2.0
Nate Wolters,2014,2018,,6-4,190,"May 15, 1991",South Dakota State,Career,,,NBA,84,31,18.8,2.3,5.4,.423,0.2,0.8,.261,2.1,4.6,.452,.442,0.7,1.1,.635,0.5,1.7,2.2,2.5,0.5,0.2,0.8,1.0,5.5
Al Wood,1982,1987,,6-6,193,"June 2, 1958",UNC,Career,,,NBA,417,246,23.8,4.7,10.2,.465,0.1,0.5,.211,4.7,9.7,.477,.470,2.2,2.7,.789,1.1,1.9,3.0,1.8,0.7,0.4,1.4,2.3,11.8
Bob Wood,1950,1950,,5-10,,"October 7, 1921",Northern Illinois,Career,,,NBA,6,,,0.5,2.3,.214,,,,,,,,0.2,0.2,1.000,,,,0.2,,,,1.0,1.2
Christian Wood,2016,2021,,6-10,214,"September 27, 1995",UNLV,Career,,,NBA,154,55,20.5,4.6,8.7,.531,0.9,2.5,.371,3.7,6.2,.596,.585,2.4,3.5,.695,1.5,4.6,6.1,0.9,0.5,0.8,1.2,1.5,12.6
