Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Thaddeus Young,31.95,,,,,,,,,,,,,,,,,,,,Starter,0.417,0.417,0.333,0.0,3.8,6.3,5.1,4.1,3.1,0.0,20.0,21.0,72.0,106.0,-9.1,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,4.0,12.0,0.333,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,10.0,10.0
Myles Turner,31.233333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.678,0.577,0.077,0.692,15.4,25.6,21.0,14.3,1.6,2.6,5.6,25.7,144.0,102.0,8.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,7.0,13.0,0.538,1.0,1.0,1.0,8.0,9.0,0.889,4.0,8.0,12.0,3.0,1.0,1.0,1.0,2.0,23.0,7.0
Paul George,30.9,,,,,,,,,,,,,,,,,,,,Starter,0.591,0.5,0.385,0.538,3.9,12.9,8.8,13.2,0.0,0.0,5.9,24.7,123.0,111.0,-0.5,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,5.0,13.0,0.385,3.0,5.0,0.6,6.0,7.0,0.857,1.0,4.0,5.0,3.0,0.0,0.0,1.0,3.0,19.0,13.0
Jeff Teague,27.2,,,,,,,,,,,,,,,,,,,,Starter,0.607,0.556,0.222,0.222,4.4,7.4,6.0,46.5,1.8,3.0,23.3,21.1,118.0,106.0,2.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,5.0,9.0,0.556,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,9.0,1.0,1.0,3.0,2.0,12.0,5.0
Aaron Brooks,17.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.778,0.778,0.333,0.0,0.0,11.2,6.1,20.0,0.0,4.5,0.0,22.5,151.0,108.0,10.7,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,6.0,9.0,0.667,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,14.0,11.0
Kevin Séraphin,16.05,,,,,,,,,,,,,,,,,,,,Reserve,1.0,1.0,0.0,0.0,7.5,31.2,20.4,0.0,0.0,0.0,25.0,11.1,138.0,106.0,0.6,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0
C.J. Miles,15.966666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,0.5,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,22.4,109.0,114.0,-5.5,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,4.0,8.0,0.5,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0
Monta Ellis,15.733333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.667,0.667,0.0,0.0,0.0,25.4,13.9,33.1,3.1,5.2,0.0,8.5,160.0,96.0,11.9,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0
Al Jefferson,13.85,,,,,,,,,,,,,,,,,,,,Reserve,0.607,0.556,0.0,0.222,0.0,21.7,11.8,13.5,0.0,5.9,9.2,35.1,110.0,104.0,0.2,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,5.0,9.0,0.556,0.0,0.0,,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,12.0,9.0
Lavoy Allen,2.9166666666666665,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,76.5,0.0,0.0,,0.0,221.0,114.0,25.6,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.0
Joe Young,2.9166666666666665,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,114.0,-7.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
