Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Richard Hamilton,32.56666666666667,9.0,14.0,0.643,1.0,2.0,0.5,5.0,5.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,5.0,2.0,24.0,33.0,Starter,0.741,0.679,0.143,0.357,0.0,6.3,4.0,28.6,1.8,0.0,23.6,34.7,118,97,5.1,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,32.3,5.0,6.0,0.833,0.0,0.0,,2.0,2.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,1.0,0.0,12.0,25.0,Starter,0.872,0.833,0.0,0.333,5.7,19.0,14.3,18.8,0.0,0.0,12.7,13.0,164,94,9.8,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Billups,31.483333333333334,8.0,11.0,0.727,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,3.0,7.0,2.0,0.0,1.0,3.0,20.0,37.0,Starter,0.874,0.864,0.455,0.091,5.9,6.5,6.3,39.8,3.7,0.0,8.0,21.1,169,93,19.8,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Maxiell,30.466666666666665,3.0,3.0,1.0,0.0,0.0,,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,1.0,1.0,3.0,9.0,31.0,Starter,0.945,1.0,0.0,1.333,0.0,13.4,8.6,13.8,0.0,2.6,17.4,10.1,162,95,8.5,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,25.216666666666665,2.0,8.0,0.25,2.0,5.0,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,20.0,Starter,0.375,0.375,0.625,0.0,0.0,8.1,5.2,5.4,0.0,0.0,0.0,16.9,89,99,-7.4,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Stuckey,21.733333333333334,2.0,8.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,2.0,3.0,7.0,-8.0,Reserve,0.394,0.313,0.125,0.25,17.0,14.1,15.1,25.5,2.7,0.0,18.4,26.7,99,90,-3.1,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,15.183333333333334,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,-12.0,Reserve,0.25,0.25,0.0,0.0,0.0,6.7,4.3,17.6,0.0,0.0,20.0,17.6,68,100,-10.7,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio McDyess,14.733333333333333,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,5.0,4.0,3.0,Reserve,0.667,0.667,0.0,0.0,0.0,27.7,17.9,10.0,0.0,0.0,40.0,18.1,79,87,-8.0,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Ratliff,14.166666666666666,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Reserve,0.0,0.0,0.0,1.0,0.0,14.4,9.3,0.0,0.0,5.6,25.8,14.6,0,93,-14.4,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,11.416666666666666,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,10.0,-8.0,Reserve,1.0,1.0,0.0,0.0,32.3,35.8,34.6,0.0,0.0,0.0,16.7,28.0,156,84,15.1,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Hayes,10.683333333333334,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,-6.0,Reserve,1.0,1.0,1.0,0.0,17.3,19.1,18.5,15.0,0.0,0.0,25.0,20.0,139,92,12.7,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Hunter,0.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,104,-3.2,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Miller,34.11666666666667,4.0,16.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,11.0,-29.0,Starter,0.31,0.25,0.063,0.25,0.0,5.4,1.9,14.5,0.0,0.0,0.0,24.8,79,130,-10.3,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,31.35,4.0,7.0,0.571,1.0,3.0,0.333,7.0,12.0,0.583,0.0,4.0,4.0,1.0,4.0,0.0,3.0,1.0,16.0,-32.0,Starter,0.651,0.643,0.429,1.714,0.0,23.6,8.4,8.1,7.5,0.0,19.6,23.2,107,111,8.3,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Dalembert,25.4,3.0,6.0,0.5,0.0,0.0,,2.0,4.0,0.5,3.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,8.0,-16.0,Starter,0.515,0.5,0.0,0.667,12.1,21.8,15.5,0.0,0.0,0.0,20.5,18.3,93,128,-7.0,200805010PHI,2008-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
