Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Anthony Parker,25.55,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,Starter,0.333,0.333,0.333,0.0,0.0,22.4,11.5,5.2,4.2,0.0,0.0,5.5,88,97,1.8,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,19.866666666666667,4.0,12.0,0.333,0.0,0.0,,3.0,4.0,0.75,3.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,11.0,1.0,Starter,0.4,0.333,0.0,0.333,18.1,5.8,11.8,0.0,0.0,0.0,6.8,35.1,93,110,-13.6,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonte West,27.433333333333334,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,8.0,-4.0,Reserve,0.667,0.667,0.0,0.0,0.0,4.2,2.1,11.3,0.0,0.0,33.3,15.5,90,111,-5.1,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejão,21.733333333333334,1.0,4.0,0.25,0.0,0.0,,2.0,2.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,Reserve,0.41,0.25,0.0,0.5,22.1,10.5,16.2,6.2,2.5,3.4,0.0,10.6,130,102,3.6,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Hickson,11.866666666666667,5.0,7.0,0.714,0.0,0.0,,1.0,3.0,0.333,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,Reserve,0.661,0.714,0.0,0.429,0.0,19.3,9.9,0.0,0.0,0.0,10.7,37.1,108,106,5.3,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamario Moon,8.683333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,-5.0,Reserve,1.5,1.5,1.0,0.0,13.8,13.2,13.5,17.0,0.0,0.0,0.0,5.4,256,108,17.4,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zydrunas Ilgauskas,5.15,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0,112,-19.9,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,43.63333333333333,5.0,18.0,0.278,1.0,5.0,0.2,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,11.0,-22.0,Starter,0.306,0.306,0.278,0.0,2.2,5.6,3.7,14.7,0.0,0.0,5.3,21.0,70,127,-7.6,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Jennings,41.36666666666667,6.0,18.0,0.333,1.0,4.0,0.25,2.0,4.0,0.5,0.0,2.0,2.0,5.0,1.0,0.0,0.0,2.0,15.0,-17.0,Starter,0.38,0.361,0.222,0.222,0.0,6.0,2.6,27.6,1.5,0.0,0.0,23.1,90,124,0.4,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Thomas,26.2,3.0,7.0,0.429,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,1.0,4.0,6.0,-17.0,Starter,0.429,0.429,0.0,0.0,0.0,23.5,10.3,16.3,2.3,0.0,12.5,14.8,83,113,-1.8,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
