Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Chris Bosh,33.56666666666667,7,11,0.636,3,4,0.75,1,1,1.0,2,7,9,1,0,0,2,2,18,-12,Starter,0.787,0.773,0.364,0.091,7.0,37.1,18.9,5.3,0.0,0.0,14.9,19.4,135,125,4.0,201406050SAS,2014-06-05 21:00:00
Dwyane Wade,33.03333333333333,8,18,0.444,1,3,0.333,2,2,1.0,2,1,3,2,1,0,2,4,19,-18,Starter,0.503,0.472,0.167,0.111,7.1,5.4,6.4,11.5,1.6,0.0,9.6,30.7,101,124,-4.4,201406050SAS,2014-06-05 21:00:00
LeBron James,32.88333333333333,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,25,0,Starter,0.636,0.588,0.176,0.353,10.7,16.2,12.9,18.4,4.8,0.0,16.9,34.9,115,116,8.7,201406050SAS,2014-06-05 21:00:00
Rashard Lewis,30.633333333333333,4,10,0.4,2,6,0.333,0,0,,0,0,0,0,0,0,0,1,10,-20,Starter,0.5,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,101,128,-5.7,201406050SAS,2014-06-05 21:00:00
Mario Chalmers,17.233333333333334,1,3,0.333,1,1,1.0,0,0,,0,1,1,1,3,1,5,5,3,-3,Starter,0.5,0.5,0.333,0.0,0.0,10.3,4.1,8.1,9.1,6.5,62.5,22.5,41,102,-9.3,201406050SAS,2014-06-05 21:00:00
Ray Allen,32.333333333333336,6,12,0.5,3,8,0.375,1,2,0.5,0,3,3,3,5,0,0,4,16,-11,Reserve,0.621,0.625,0.667,0.167,0.0,16.5,6.5,15.9,8.1,0.0,0.0,19.3,132,108,11.5,201406050SAS,2014-06-05 21:00:00
Norris Cole,29.083333333333332,1,4,0.25,0,3,0.0,0,0,,0,3,3,5,2,0,2,3,2,-11,Reserve,0.25,0.25,0.75,0.0,0.0,18.3,7.3,23.3,3.6,0.0,33.3,10.0,74,118,-4.5,201406050SAS,2014-06-05 21:00:00
Chris Andersen,17.533333333333335,1,2,0.5,0,0,,0,0,,0,3,3,0,0,1,1,0,2,-1,Reserve,0.5,0.5,0.0,0.0,0.0,30.4,12.1,0.0,0.0,6.4,33.3,8.3,63,121,-5.8,201406050SAS,2014-06-05 21:00:00
Shane Battier,13.7,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,1,Reserve,0.0,0.0,1.0,0.0,0.0,13.0,5.2,9.5,0.0,0.0,0.0,3.5,57,127,-6.6,201406050SAS,2014-06-05 21:00:00
Tony Parker,36.6,8,15,0.533,2,2,1.0,1,2,0.5,0,0,0,8,1,0,4,1,19,13,Starter,0.598,0.6,0.133,0.133,0.0,0.0,0.0,35.6,1.4,0.0,20.1,26.2,110,109,-0.7,201406050SAS,2014-06-05 21:00:00
