Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Zion Williamson,15.166666666666666,6.0,8.0,0.75,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,13.0,-16.0,Starter,0.77,0.75,0.0,0.125,0.0,0.0,0.0,15.1,0.0,0.0,19.2,27.1,118,115,3.0,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Redick,26.083333333333332,7.0,15.0,0.467,3.0,8.0,0.375,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,3.0,1.0,21.0,8.0,Reserve,0.626,0.567,0.533,0.267,4.0,13.1,8.4,20.4,0.0,0.0,15.2,29.8,118,111,6.4,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hart,22.016666666666666,4.0,7.0,0.571,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,10.0,9.0,Reserve,0.672,0.714,0.429,0.143,4.7,10.4,7.4,7.0,0.0,0.0,11.8,15.1,123,112,1.4,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Hayes,19.55,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,5.0,2.0,7.0,1.0,0.0,0.0,1.0,2.0,3.0,7.0,Reserve,0.521,0.5,0.0,1.0,26.7,11.7,19.5,6.5,0.0,0.0,25.8,7.8,121,111,-3.6,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Melli,14.333333333333334,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,8.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,9.9,0.0,50.0,5.5,49,93,1.8,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,13.666666666666666,3.0,7.0,0.429,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,Reserve,0.571,0.571,0.429,0.0,7.6,16.7,12.0,11.9,3.5,0.0,0.0,20.2,133,102,12.0,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Jackson,3.8166666666666664,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Reserve,,,,,0.0,29.9,14.3,31.4,0.0,0.0,,0.0,228,106,4.6,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,34.43333333333333,11.0,17.0,0.647,6.0,11.0,0.545,2.0,4.0,0.5,0.0,5.0,5.0,3.0,3.0,0.0,5.0,5.0,30.0,0.0,Starter,0.8,0.824,0.647,0.235,0.0,16.2,8.6,25.1,4.2,0.0,21.0,31.2,117,98,14.0,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,34.016666666666666,3.0,10.0,0.3,1.0,4.0,0.25,3.0,4.0,0.75,1.0,5.0,6.0,4.0,0.0,0.0,4.0,1.0,10.0,9.0,Starter,0.425,0.35,0.4,0.4,3.7,16.4,10.5,20.3,0.0,0.0,25.4,20.9,80,108,-5.4,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,33.15,7.0,16.0,0.438,3.0,4.0,0.75,11.0,13.0,0.846,0.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,28.0,16.0,Starter,0.645,0.531,0.25,0.813,0.0,10.1,5.4,26.5,2.9,6.3,12.1,33.7,120,100,14.1,202007300LAL,2020-07-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
