Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Andre Iguodala,33.81666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.677,0.688,0.375,0.875,3.3,19.1,12.0,7.9,3.9,2.1,15.3,15.6,115.0,101.0,3.8,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,5.0,8.0,0.625,1.0,3.0,0.333,4.0,7.0,0.571,1.0,7.0,8.0,2.0,3.0,1.0,2.0,1.0,15.0,1.0
Nick Young,11.166666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.375,0.375,1.0,0.0,0.0,8.3,4.5,11.1,0.0,0.0,20.0,18.1,66.0,114.0,-11.5,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,-11.0
Stephen Curry,27.233333333333334,,,,,,,,,,,,,,,,,,,,Reserve,0.774,0.7,0.667,0.467,0.0,23.7,13.0,12.2,4.8,0.0,24.9,35.7,106.0,100.0,8.2,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,8.0,15.0,0.533,5.0,10.0,0.5,7.0,7.0,1.0,0.0,7.0,7.0,2.0,3.0,0.0,6.0,2.0,28.0,26.0
Kevon Looney,22.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,1.031,1.0,0.0,0.667,14.6,20.2,17.7,5.7,1.9,0.0,0.0,6.8,221.0,107.0,4.9,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,3.0,3.0,1.0,0.0,0.0,,2.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,2.0,8.0,7.0
Shaun Livingston,14.183333333333334,,,,,,,,,,,,,,,,,,,,Reserve,0.4,0.4,0.0,0.0,0.0,6.5,3.6,28.0,0.0,0.0,16.7,17.1,86.0,114.0,-10.2,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,4.0
David West,10.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,1.0,1.0,0.0,0.0,0.0,25.4,13.9,64.5,0.0,13.0,33.3,11.1,157.0,99.0,21.3,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,2.0,1.0,0.0,4.0,5.0
Donovan Mitchell,37.85,,,,,,,,,,,,,,,,,,,,Starter,0.373,0.333,0.381,0.19,5.9,7.0,6.5,39.4,2.5,0.0,11.6,29.4,94.0,106.0,-1.3,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,6.0,21.0,0.286,2.0,8.0,0.25,3.0,4.0,0.75,2.0,3.0,5.0,11.0,2.0,0.0,3.0,5.0,17.0,13.0
Rudy Gobert,36.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.684,0.714,0.0,1.286,3.0,31.4,18.8,0.0,0.0,6.8,15.4,15.2,115.0,99.0,1.9,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,5.0,7.0,0.714,0.0,0.0,,5.0,9.0,0.556,1.0,13.0,14.0,0.0,0.0,3.0,2.0,4.0,15.0,-1.0
Joe Ingles,35.63333333333333,,,,,,,,,,,,,,,,,,,,Starter,1.038,1.038,0.692,0.0,0.0,7.5,4.2,9.1,0.0,0.0,18.8,19.4,145.0,112.0,11.9,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,10.0,13.0,0.769,7.0,9.0,0.778,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,27.0,-2.0
Royce O'Neale,27.416666666666668,,,,,,,,,,,,,,,,,,,,Starter,0.51,0.5,0.6,0.4,0.0,13.0,7.2,8.9,0.0,0.0,33.8,14.0,74.0,110.0,-4.3,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,6.0,-3.0
