Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Trevor Ariza,23.783333333333335,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,18.0,Starter,0.375,0.375,0.5,0.0,4.4,4.0,4.2,10.4,0.0,3.7,0.0,7.7,114,95,1.6,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bynum,22.383333333333333,3.0,8.0,0.375,0.0,0.0,,3.0,4.0,0.75,3.0,6.0,9.0,0.0,0.0,1.0,0.0,4.0,9.0,9.0,Starter,0.461,0.375,0.0,0.5,14.0,25.7,20.1,0.0,0.0,4.0,0.0,19.9,118,84,0.3,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Odom,31.65,5.0,11.0,0.455,0.0,3.0,0.0,1.0,2.0,0.5,2.0,12.0,14.0,0.0,1.0,1.0,2.0,3.0,11.0,21.0,Reserve,0.463,0.455,0.273,0.182,6.6,36.4,22.1,0.0,1.8,2.8,14.4,20.1,90,76,0.4,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Walton,24.216666666666665,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,9.0,7.0,Reserve,0.765,0.8,0.0,0.4,4.3,4.0,4.1,12.0,2.3,0.0,0.0,11.1,164,92,9.2,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,12.533333333333333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Reserve,0.0,0.0,0.333,0.0,0.0,15.3,8.0,9.3,0.0,0.0,25.0,14.6,15,92,-15.6,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Brown,8.2,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Reserve,0.0,0.0,0.0,0.0,12.7,0.0,6.1,0.0,0.0,0.0,0.0,11.2,38,100,-10.7,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Vujačić,5.3,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0,Reserve,0.0,0.0,0.0,0.0,0.0,18.1,9.4,22.1,0.0,0.0,50.0,17.3,24,89,-20.8,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Powell,2.8333333333333335,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,Reserve,0.75,0.75,0.5,0.0,73.7,67.8,70.6,0.0,0.0,0.0,0.0,32.3,169,67,41.4,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Ilunga-Mbenga,1.8333333333333335,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Reserve,0.0,0.0,0.0,0.0,0.0,52.4,27.3,0.0,0.0,0.0,50.0,49.9,0,74,-49.5,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,41.516666666666666,5.0,13.0,0.385,2.0,7.0,0.286,1.0,2.0,0.5,3.0,4.0,7.0,1.0,2.0,0.0,1.0,4.0,13.0,-1.0,Starter,0.468,0.462,0.538,0.154,9.9,22.0,14.5,3.4,2.7,0.0,6.7,16.8,109,125,0.0,200906090ORL,2009-06-09 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
