Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Tim Duncan,41.31666666666667,14.0,24.0,0.583,0.0,1.0,0.0,3.0,4.0,0.75,6.0,9.0,15.0,4.0,0.0,3.0,4.0,4.0,31.0,6.0,Starter,0.602,0.583,0.042,0.167,15.6,23.4,19.5,19.8,0.0,5.0,13.4,32.2,118,102,9.6,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Parker,37.88333333333333,8.0,21.0,0.381,2.0,5.0,0.4,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,18.0,2.0,Starter,0.429,0.429,0.238,0.0,2.8,0.0,1.4,8.5,0.0,0.0,8.7,26.9,91,114,-6.1,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manu Ginóbili,36.61666666666667,6.0,15.0,0.4,2.0,6.0,0.333,5.0,6.0,0.833,0.0,8.0,8.0,6.0,3.0,0.0,4.0,1.0,19.0,15.0,Starter,0.539,0.467,0.4,0.4,0.0,24.4,12.2,25.9,4.5,0.0,18.5,27.5,104,96,7.2,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Bowen,35.36666666666667,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,9.0,-5.0,Starter,0.654,0.667,0.5,0.333,3.0,5.9,4.4,11.1,0.0,1.9,12.7,9.7,130,111,4.4,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazr Mohammed,17.05,1.0,3.0,0.333,0.0,0.0,,2.0,3.0,0.667,1.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,4.0,-7.0,Starter,0.463,0.333,0.0,1.0,6.3,6.3,6.3,0.0,3.1,4.0,18.8,13.9,90,102,-5.4,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Horry,35.266666666666666,3.0,11.0,0.273,0.0,2.0,0.0,1.0,1.0,1.0,3.0,8.0,11.0,5.0,3.0,1.0,0.0,2.0,7.0,16.0,Reserve,0.306,0.273,0.182,0.091,8.9,23.7,16.3,18.5,4.4,1.9,0.0,14.1,103,95,6.8,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Barry,24.033333333333335,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,Reserve,0.5,0.5,0.667,0.0,0.0,17.1,8.5,0.0,0.0,0.0,40.0,8.9,57,108,-7.1,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,10.116666666666667,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,4.0,Reserve,1.333,1.333,0.667,0.0,0.0,10.7,5.3,18.8,0.0,0.0,0.0,13.3,261,110,22.2,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massenburg,2.3666666666666667,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-3.0,Reserve,1.0,1.0,0.0,0.0,100.0,0.0,53.3,0.0,0.0,0.0,0.0,22.2,210,114,19.3,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,45.333333333333336,16.0,32.0,0.5,0.0,1.0,0.0,10.0,11.0,0.909,7.0,9.0,16.0,2.0,1.0,4.0,3.0,4.0,42.0,-2.0,Starter,0.57,0.5,0.031,0.344,16.2,20.9,18.6,9.8,1.1,6.3,7.5,39.4,120,106,13.4,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nash,42.18333333333333,9.0,20.0,0.45,0.0,3.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,10.0,1.0,0.0,3.0,2.0,21.0,-4.0,Starter,0.483,0.45,0.15,0.2,0.0,10.2,5.1,41.2,1.3,0.0,12.1,26.8,104,114,2.0,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,42.1,6.0,17.0,0.353,2.0,4.0,0.5,0.0,0.0,,1.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,14.0,-8.0,Starter,0.412,0.412,0.235,0.0,2.5,7.6,5.1,14.7,1.3,1.7,5.6,19.5,95,114,0.4,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Marion,41.88333333333333,4.0,8.0,0.5,0.0,4.0,0.0,0.0,0.0,,1.0,9.0,10.0,0.0,2.0,1.0,1.0,1.0,8.0,-9.0,Starter,0.5,0.5,0.5,0.0,2.6,23.4,13.0,0.0,2.6,1.8,11.1,10.0,96,105,0.0,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Richardson,28.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,-6.0,Starter,0.0,0.0,0.333,0.0,3.8,3.8,3.8,0.0,1.9,0.0,25.0,6.5,18,115,-8.7,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jackson,26.883333333333333,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,,1.0,5.0,6.0,0.0,2.0,0.0,2.0,4.0,9.0,-2.0,Reserve,0.9,0.9,0.8,0.0,3.8,19.0,11.4,0.0,3.8,0.0,28.6,11.4,121,105,4.6,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Hunter,13.416666666666666,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Reserve,0.174,0.0,0.0,1.0,8.2,0.0,4.1,0.0,0.0,0.0,0.0,10.1,62,121,-9.2,200506010PHO,2005-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hamilton,42.55,7.0,18.0,0.389,0.0,2.0,0.0,7.0,8.0,0.875,1.0,2.0,3.0,5.0,2.0,2.0,5.0,1.0,21.0,-11.0,Starter,0.488,0.389,0.111,0.444,2.5,7.1,4.4,26.0,2.6,3.7,18.9,29.8,91,99,5.9,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Wallace,37.5,4.0,8.0,0.5,0.0,0.0,,1.0,3.0,0.333,1.0,6.0,7.0,3.0,2.0,1.0,0.0,4.0,9.0,-8.0,Starter,0.483,0.5,0.0,0.375,2.7,23.7,11.3,15.2,2.9,2.1,0.0,11.6,113,97,6.2,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Billups,36.31666666666667,7.0,15.0,0.467,2.0,5.0,0.4,3.0,5.0,0.6,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,19.0,-7.0,Starter,0.552,0.533,0.333,0.333,2.8,12.2,6.7,24.8,0.0,0.0,5.5,23.2,117,107,6.1,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,36.06666666666667,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,11.0,-8.0,Starter,0.5,0.5,0.273,0.0,0.0,4.1,1.7,11.0,0.0,0.0,15.4,16.6,90,108,-2.1,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,27.15,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,1.0,4.0,5.0,2.0,-18.0,Starter,0.333,0.333,0.333,0.0,7.7,33.3,18.2,0.0,0.0,2.9,57.1,12.2,38,101,-12.9,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio McDyess,23.116666666666667,2.0,7.0,0.286,0.0,0.0,,0.0,0.0,,6.0,3.0,9.0,1.0,0.0,0.0,1.0,3.0,4.0,-1.0,Reserve,0.286,0.286,0.0,0.0,27.2,19.6,24.1,8.1,0.0,0.0,12.5,16.4,84,106,-5.6,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Hunter,16.833333333333332,2.0,7.0,0.286,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,5.0,-11.0,Reserve,0.317,0.286,0.0,0.286,6.1,17.6,10.9,0.0,3.3,4.6,11.3,24.6,66,95,-2.3,200506020MIA,2005-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
