Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Jason Kidd,43.85,4,17,0.235,1,5,0.2,1,2,0.5,0,8,8,10,2,1,3,1,10,-12,Starter,0.28,0.265,0.294,0.118,0.0,20.8,9.5,38.1,2.4,1.6,14.4,21.1,70,106,-1.0,200306040SAS,2003-06-04 20:30:00
Richard Jefferson,36.35,5,10,0.5,0,0,,5,6,0.833,0,4,4,1,2,0,3,3,15,-8,Starter,0.593,0.5,0.0,0.6,0.0,12.7,5.8,5.1,2.9,0.0,19.2,19.3,99,108,0.1,200306040SAS,2003-06-04 20:30:00
Kenyon Martin,33.233333333333334,10,24,0.417,0,1,0.0,1,2,0.5,4,8,12,2,1,2,1,6,21,-12,Starter,0.422,0.417,0.042,0.083,11.6,27.7,19.0,15.8,1.6,4.2,3.9,34.9,93,103,4.6,200306040SAS,2003-06-04 20:30:00
Jason Collins,30.766666666666666,1,4,0.25,0,0,,3,4,0.75,4,5,9,3,0,0,0,4,5,-6,Starter,0.434,0.25,0.0,1.0,12.4,18.4,15.1,14.8,0.0,0.0,0.0,8.3,128,112,0.7,200306040SAS,2003-06-04 20:30:00
Kerry Kittles,30.366666666666667,2,7,0.286,1,3,0.333,3,4,0.75,2,1,3,2,0,0,1,1,8,-11,Starter,0.457,0.357,0.429,0.571,6.4,3.8,5.2,10.7,0.0,0.0,10.2,14.5,101,116,-2.2,200306040SAS,2003-06-04 20:30:00
Lucious Harris,23.533333333333335,4,10,0.4,1,2,0.5,6,7,0.857,0,1,1,0,0,0,0,1,15,0,Reserve,0.573,0.45,0.2,0.7,0.0,4.8,2.2,0.0,0.0,0.0,0.0,24.2,125,116,4.4,200306040SAS,2003-06-04 20:30:00
Rodney Rogers,20.516666666666666,5,10,0.5,1,2,0.5,0,0,,1,1,2,1,0,0,0,3,11,-5,Reserve,0.55,0.55,0.2,0.0,4.6,5.4,5.0,10.6,0.0,0.0,0.0,21.2,117,115,3.5,200306040SAS,2003-06-04 20:30:00
Aaron Williams,11.1,2,5,0.4,0,0,,0,0,,2,2,4,0,0,1,0,4,4,-2,Reserve,0.4,0.4,0.0,0.0,17.5,20.8,19.0,0.0,0.0,6.3,0.0,20.2,99,105,-3.9,200306040SAS,2003-06-04 20:30:00
Dikembe Mutombo,6.133333333333334,0,1,0.0,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-4,Reserve,0.0,0.0,0.0,0.0,0.0,38.1,17.4,0.0,0.0,11.6,0.0,7.4,0,97,-8.2,200306040SAS,2003-06-04 20:30:00
Anthony Johnson,4.15,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0,116,-19.8,200306040SAS,2003-06-04 20:30:00
