Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Paul Pierce,44.233333333333334,6.0,19.0,0.316,4.0,8.0,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,5.0,4.0,16.0,8.0,Starter,0.421,0.421,0.421,0.0,0.0,9.6,5.4,12.8,1.3,0.0,20.8,28.2,70.0,102.0,-8.7,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,42.55,5.0,8.0,0.625,2.0,2.0,1.0,6.0,6.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,18.0,0.0,Starter,0.846,0.75,0.25,0.75,3.2,7.5,5.6,17.1,0.0,0.0,15.8,15.4,150.0,105.0,6.5,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bass,40.31666666666667,6.0,7.0,0.857,0.0,0.0,,5.0,5.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,3.0,17.0,3.0,Starter,0.924,0.857,0.0,0.714,3.4,10.6,7.4,14.4,1.4,0.0,17.9,14.4,157.0,101.0,7.6,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,38.63333333333333,5.0,9.0,0.556,0.0,0.0,,6.0,6.0,1.0,2.0,16.0,18.0,5.0,0.0,2.0,5.0,4.0,16.0,-1.0,Starter,0.687,0.556,0.0,0.667,7.1,44.2,28.0,24.1,0.0,4.2,30.0,22.4,111.0,90.0,5.4,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,22.333333333333332,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,-1.0,Starter,0.333,0.333,0.0,0.0,6.1,4.8,5.4,0.0,0.0,0.0,14.3,16.3,65.0,106.0,-9.7,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Terry,35.11666666666667,6.0,16.0,0.375,5.0,9.0,0.556,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,17.0,13.0,Reserve,0.531,0.531,0.563,0.0,0.0,12.2,6.8,17.2,1.6,2.3,0.0,23.6,109.0,98.0,6.2,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Williams,16.816666666666666,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,8.0,Reserve,0.4,0.4,0.6,0.0,0.0,25.4,14.3,21.7,0.0,0.0,0.0,15.4,97.0,99.0,-2.4,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,45.166666666666664,8.0,24.0,0.333,0.0,5.0,0.0,6.0,6.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,1.0,22.0,-4.0,Starter,0.413,0.333,0.208,0.25,0.0,21.3,9.3,9.0,0.0,0.0,0.0,28.9,92.0,111.0,-1.5,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Felton,44.233333333333334,10.0,19.0,0.526,0.0,3.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,4.0,0.0,0.0,3.0,1.0,21.0,-8.0,Starter,0.528,0.526,0.158,0.105,7.2,9.3,8.1,20.5,0.0,0.0,13.1,25.4,103.0,113.0,0.1,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Chandler,33.71666666666667,3.0,5.0,0.6,0.0,0.0,,2.0,2.0,1.0,4.0,7.0,11.0,2.0,3.0,0.0,0.0,4.0,8.0,8.0,Starter,0.68,0.6,0.0,0.4,12.7,28.5,19.6,10.3,5.0,0.0,0.0,8.6,161.0,98.0,7.4,201305010NYK,2013-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
